,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.09230990409851074,0.000762319564819336,0.10684035188216247,0.10263164398205807,0.1,"(10,)",2,"{'pca__n_components': 2, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",748,0.12004079625456403,0.10450256254422433,0.09889831862407177,0.08965207041892276,0.09787298798816246,0.10973900050690111,0.11478726492249293,0.10282866349743632,0.1025627656181381,0.10643592294280588,0.024902937276812427,0.00010768558295734431,0.008947444271097517,0.006884700981436399
1,0.11644549369812011,0.0007135391235351563,0.14129221376751022,0.14985408022932917,0.1,"(10,)",3,"{'pca__n_components': 3, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",318,0.1422987122778964,0.12896239754390743,0.1383876313123339,0.1724663327080737,0.14884768493043668,0.15508399218572697,0.14567786008384015,0.14646115059581394,0.1311549297573828,0.1462965281131236,0.024422077747020345,5.054024010557597e-06,0.006125092845917415,0.014137160218516423
2,0.12930378913879395,0.0006926536560058593,0.12981233379206308,0.13907950827920804,0.1,"(10,)",4,"{'pca__n_components': 4, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",477,0.15828154947228665,0.19022287669477436,0.11401227118124106,0.1295187304158673,0.1031191854666222,0.12537488339622213,0.13188981685342427,0.10747070567905678,0.14185863992577674,0.14281034521011948,0.011038716407286634,1.1029687724915284e-05,0.01963429312881813,0.02795676982573713
3,0.1127312183380127,0.0006961822509765625,0.13607491337335606,0.1356951194953679,0.1,"(10,)",5,"{'pca__n_components': 5, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",394,0.08040880986853138,0.1000825418559112,0.12187451959010454,0.14986247459429108,0.1455253495963363,0.13507623817413297,0.17530819234028563,0.15322758703980996,0.1579400991179632,0.14022675581269414,0.01591282669132189,1.7370229339682565e-05,0.03291429475895405,0.018959302711990828
4,0.09246387481689453,0.0006881237030029296,0.09758961577316749,0.09641900363075838,0.1,"(10,)",6,"{'pca__n_components': 6, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",788,0.0787940934596967,0.0936093789745962,0.18313629598499961,0.18316955674106566,0.08536839842601317,0.06315573672112303,0.06213211686567608,0.0746915078786805,0.07788703190914754,0.06746883783832651,0.04012835385361178,1.908028004771357e-05,0.043592759242815034,0.044609849926266855
5,0.09536428451538086,0.0006862640380859375,0.13890198621849503,0.14600644209730707,0.1,"(10,)",7,"{'pca__n_components': 7, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",343,0.1336181851513019,0.14924982235064088,0.14852005785500638,0.14623657027176087,0.12723915694522556,0.13338581000657088,0.14603966584106906,0.14905932159742788,0.1391062093563836,0.1521006862601349,0.01176673800900804,8.824193384796665e-06,0.00785096272863241,0.006577426760862219
6,0.11216826438903808,0.0006879329681396485,0.14176364534721467,0.1446216541319286,0.1,"(10,)",8,"{'pca__n_components': 8, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",308,0.12790741764464988,0.14081297536717777,0.1678431923373181,0.17422592026587147,0.11211116529158956,0.12560566177574004,0.1642130168649999,0.16162178731940383,0.13672432558558367,0.12084192593144988,0.01759426292940421,1.2346860104401823e-05,0.021379841137022612,0.02052806164367957
7,0.0744232177734375,0.0006915092468261719,0.13539823756184188,0.13695237739179694,0.1,"(10,)",9,"{'pca__n_components': 9, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",401,0.13708776648951596,0.13446500261203675,0.13863873758144366,0.14597361200088338,0.13527087133551832,0.13073471090798877,0.14379353388819271,0.13198868103173997,0.12205747768543665,0.1415998804063358,0.013008842873320001,1.0974094082668616e-05,0.007210073192298021,0.005873102238102589
8,0.10996413230895996,0.000698995590209961,0.13760905268380375,0.13950386549908705,0.1,"(10,)",10,"{'pca__n_components': 10, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",371,0.1402746352901865,0.1687968136394726,0.11464484360210427,0.12141202389207696,0.10487425799933066,0.1098217313181311,0.19034798228500724,0.16042838484303132,0.13819572222955323,0.13706037380272312,0.02881592791539016,1.4800705857121392e-05,0.02961701416156208,0.02240636871280141
9,0.07821521759033204,0.0006873607635498047,0.11548646336929184,0.11722258589471327,0.1,"(10,)",11,"{'pca__n_components': 11, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",659,0.10809612884942074,0.12153996465755287,0.12132312767758753,0.11701741604787204,0.10789360286871685,0.11549928116833384,0.13034797279165772,0.11415599565779538,0.10976860024604587,0.11790027194201208,0.023989476740954363,1.0079214165203361e-05,0.008940006563096767,0.0025105723366474243
10,0.08222222328186035,0.0007070541381835937,0.11754506252764697,0.1373429819360037,0.1,"(20,)",2,"{'pca__n_components': 2, 'NN__hidden_layer_sizes': (20,), 'NN__alpha': 0.1}",610,0.1056751861874571,0.10569970611221652,0.13278855766108372,0.14685750527484345,0.12387427620984626,0.1733207169141255,0.12819205984482435,0.15358769081635817,0.09698267893718177,0.10724929056247476,0.012673276365046218,1.4130480063579887e-05,0.01376246608774727,0.026667363201015013
