iterations,fitness,time,fevals
0,24.0,0.086582358,2000
10,28.0,0.165962793,4200
20,37.0,0.234926963,6400
30,47.0,0.306271572,8600
40,52.0,0.363941301,10800
50,57.0,0.420648158,13000
60,63.0,0.477992838,15200
70,66.0,0.531599006,17400
80,68.0,0.582398448,19600
90,67.0,0.631644779,21800
100,67.0,0.680856809,24000
110,67.0,0.729271673,26200
120,68.0,0.777561659,28400
130,67.0,0.826000368,30600
140,67.0,0.875096298,32800
150,66.0,0.951521202,35000
160,68.0,0.999813116,37200
170,67.0,1.04816223,39400
180,66.0,1.098045635,41600
190,67.0,1.147040261,43800
200,67.0,1.195567478,46000
210,68.0,1.244452925,48200
220,66.0,1.292129421,50400
230,66.0,1.341506744,52600
240,67.0,1.390329782,54800
250,67.0,1.439086753,57000
260,67.0,1.487565466,59200
270,68.0,1.538041389,61400
280,66.0,1.603483167,63600
290,66.0,1.652705596,65800
300,69.0,1.70164013,68000
310,68.0,1.751123439,70200
320,67.0,1.800064451,72400
330,67.0,1.849358249,74600
340,68.0,1.898000615,76800
350,68.0,1.94760843,79000
360,68.0,1.996397615,81200
370,66.0,2.04577927,83400
380,67.0,2.095391252,85600
390,67.0,2.142985703,87800
400,68.0,2.193702687,90000
410,69.0,2.242084087,92200
420,67.0,2.300667979,94400
430,67.0,2.349122513,96600
440,67.0,2.397496298,98800
450,67.0,2.446841745,101000
460,68.0,2.494558794,103200
470,67.0,2.542760833,105400
480,67.0,2.591848354,107600
490,67.0,2.639767304,109800
500,67.0,2.688400249,112000
510,67.0,2.736316868,114200
520,67.0,2.784117416,116400
530,67.0,2.833549092,118600
540,75.0,2.881938935,120800
550,67.0,2.929664032,123000
560,75.0,2.98099535,125200
570,75.0,3.030366394,127400
580,69.0,3.082862767,129600
590,68.0,3.132043486,131800
600,67.0,3.180980158,134000
610,67.0,3.228934307,136200
620,67.0,3.277290456,138400
630,69.0,3.326401259,140600
640,68.0,3.375273026,142800
650,67.0,3.423569157,145000
660,68.0,3.471351728,147200
670,66.0,3.52005423,149400
680,67.0,3.569676337,151600
690,67.0,3.61863209,153800
700,69.0,3.666582758,156000
710,67.0,3.727991309,158200
720,75.0,3.77775957,160400
730,67.0,3.827161791,162600
740,69.0,3.87586411,164800
750,68.0,3.924326214,167000
760,66.0,3.973548656,169200
770,67.0,4.027563048,171400
780,68.0,4.076387559,173600
790,67.0,4.124873101,175800
800,67.0,4.175036035,178000
810,66.0,4.223853283,180200
820,67.0,4.272133955,182400
830,67.0,4.321543298,184600
840,69.0,4.37030073,186800
850,68.0,4.418987223,189000
860,68.0,4.469021311,191200
870,66.0,4.518014,193400
880,66.0,4.56681688,195600
890,67.0,4.615131755,197800
900,67.0,4.664081408,200000
910,69.0,4.712277749,202200
920,68.0,4.761760817,204400
930,67.0,4.81040123,206600
940,67.0,4.858782531,208800
950,67.0,4.906560999,211000
960,66.0,4.955285418,213200
970,67.0,5.004283446,215400
980,69.0,5.053595401,217600
990,66.0,5.102821845,219800
1000,67.0,5.152222888,222000
1010,67.0,5.201919276,224200
1020,69.0,5.252361052,226400
1030,68.0,5.301855536,228600
1040,67.0,5.351597557,230800
1050,67.0,5.400490486,233000
1060,66.0,5.448963623,235200
1070,66.0,5.497936775,237400
1080,67.0,5.546905162,239600
1090,67.0,5.59677575,241800
1100,73.0,5.645857066,244000
1110,67.0,5.695076056,246200
1120,67.0,5.744227375,248400
1130,74.0,5.793385981,250600
1140,67.0,5.843897541,252800
1150,66.0,5.894606516,255000
1160,67.0,5.942672848,257200
1170,67.0,5.992871258,259400
