k,Red Wine Quality log-likelihood
2,-3.8943124589898335
3,-3.784230125614853
4,-3.7207086961985825
5,-3.7042039863077667
6,-3.7039327795546715
7,-3.6893289035619468
8,-3.683471763313757
9,-3.659271738559096
10,-3.6457632773728346
15,-3.5878691721832405
20,-3.5205762147916118
25,-3.4742730004156126
30,-3.4218452080278254
