iter,E0.1_Steps,E0.1_Time,E0.1_Rewards,E0.1_Convergence,E0.3_Steps,E0.3_Time,E0.3_Rewards,E0.3_Convergence,E0.5_Steps,E0.5_Time,E0.5_Rewards,E0.5_Convergence
27,30,0.001394,70,20.5889751353,29,0.001345,71,16.6772305626,59,0.00271,-256,15.0095033843
28,112,0.005051,-111,18.5300776217,82,0.003745,-81,15.0095075063,167,0.007572,-760,13.5085530458
29,76,0.003455,-75,16.6770698596,91,0.00413,-288,13.5085567557,145,0.006614,-441,12.1576977413
30,33,0.001523,67,15.0093628736,40,0.00184,60,12.1577010801,53,0.002443,-52,10.9419279671
31,118,0.005331,-117,13.5084265863,57,0.0026,-56,10.9419309721,48,0.00222,-146,9.8477351704
32,112,0.005071,-111,12.1575839276,107,0.004804,-106,9.8477378749,23,0.001104,77,8.8629616534
33,57,0.002601,-56,10.9418255349,78,0.003526,-176,8.8629640874,30,0.001419,-29,7.976665488
34,30,0.00141,70,9.8476429814,25,0.001168,75,7.9766676787,57,0.002643,-155,7.1789989392
35,27,0.001256,73,8.8628786832,64,0.002911,-63,7.1790009108,116,0.005296,-313,6.4610990453
36,151,0.006791,-249,7.9765908149,17,0.000814,83,6.4611008197,110,0.005049,-406,5.8149891408
37,44,0.002012,56,7.1789317334,119,0.005357,-415,5.8149907377,118,0.005391,-315,5.2334902267
38,31,0.001451,69,6.4610385601,41,0.001876,-40,5.233491664,43,0.002003,-42,4.710141204
39,211,0.009521,-210,5.8149347041,25,0.001169,75,4.7101424976,43,0.002001,-42,4.2391270836
40,24,0.00115,76,5.2334412337,22,0.001037,78,4.2391282478,43,0.002007,-42,3.8152143753
41,92,0.00417,-190,4.7100971103,28,0.001299,72,3.815215423,32,0.001501,68,3.4336929377
42,25,0.001172,75,4.2390873993,117,0.005261,-215,3.4336938807,28,0.00132,72,3.090323644
43,23,0.001075,77,3.8151786593,41,0.001887,-40,3.0903244927,61,0.002834,-60,2.7812912796
44,53,0.002411,47,3.4336607934,33,0.001522,67,2.7812920434,21,0.001008,-20,2.5031621516
45,19,0.000898,81,3.0902947141,25,0.001169,75,2.5031628391,82,0.003792,-378,2.2528459365
46,19,0.000914,81,2.7812652427,22,0.001034,78,2.2528465551,28,0.001333,-27,2.0275613428
47,65,0.002964,-64,2.5031387184,66,0.002993,-164,2.0275618996,21,0.001009,79,1.8248052085
48,44,0.002039,-43,2.2528248466,48,0.002191,-47,1.8248057097,17,0.00082,83,1.6423246877
49,97,0.004385,-96,2.0275423619,83,0.003762,-280,1.6423251387,109,0.004991,-405,1.4780922189
50,17,0.000813,83,1.8247881257,32,0.001489,-31,1.4780926248,45,0.002093,-143,1.330282997
51,14,0.000686,86,1.6423093131,28,0.001298,72,1.3302833623,26,0.001225,74,1.1972546973
52,45,0.002061,-44,1.4780783818,57,0.002599,-56,1.1972550261,42,0.001948,-239,1.0775292276
53,46,0.002138,54,1.3302705436,16,0.000767,84,1.0775295235,51,0.002364,-50,0.9697763048
