iterations,fitness,time,fevals
0,13.0,6.13799999627e-06,11
10,16.0,1.03949999968e-05,21
20,17.0,1.50959999985e-05,31
30,17.0,1.98549999979e-05,41
40,17.0,2.45159999963e-05,51
50,17.0,2.92889999969e-05,61
60,17.0,3.41989999981e-05,71
70,18.0,4.02240000028e-05,81
80,18.0,4.47620000017e-05,91
90,19.0,4.90339999999e-05,101
100,22.0,5.39739999965e-05,111
110,22.0,5.88759999971e-05,121
120,22.0,6.26799999992e-05,131
130,22.0,6.78999999977e-05,141
140,23.0,7.26130000004e-05,151
150,23.0,7.65790000017e-05,161
160,23.0,8.19529999987e-05,171
170,23.0,8.6195999998e-05,181
180,23.0,9.01389999939e-05,191
190,23.0,9.56199999891e-05,201
200,23.0,0.000100889999992,211
210,26.0,0.000105601999991,221
220,26.0,0.000110193999994,231
230,26.0,0.000115070999996,241
240,27.0,0.000119545999993,251
250,27.0,0.000124898999992,261
260,27.0,0.000129944999991,271
270,27.0,0.000135427999986,281
280,27.0,0.00013944099998,291
290,28.0,0.000144301999981,301
300,28.0,0.000147815999981,311
310,28.0,0.000152256999982,321
320,29.0,0.000157201999983,331
330,29.0,0.000161922999979,341
340,30.0,0.000166493999984,351
350,30.0,0.000171182999985,361
360,30.0,0.000176023999984,371
370,30.0,0.000182006999985,381
380,30.0,0.000186199999987,391
390,30.0,0.000189945999992,401
400,30.0,0.000194069999992,411
410,30.0,0.000199232999989,421
420,30.0,0.000204280999988,431
430,30.0,0.000209286999983,441
440,31.0,0.000213854999984,451
450,31.0,0.000218004999986,461
460,31.0,0.000222874999992,471
470,31.0,0.000228287999995,481
480,32.0,0.000233332999997,491
490,32.0,0.000237917999996,501
500,32.0,0.000242304999993,511
510,32.0,0.000246604999994,521
520,32.0,0.00025192399999,531
530,33.0,0.000255809999992,541
540,33.0,0.000260373999993,551
550,33.0,0.000265201999987,561
560,33.0,0.000269349999989,571
570,33.0,0.000273384999986,581
580,36.0,0.000278773999987,591
590,37.0,0.000282824999985,601
600,38.0,0.000287419999985,611
610,39.0,0.000292322999989,621
620,39.0,0.000296217999988,631
630,39.0,0.000303359999982,641
640,39.0,0.00030744799998,651
650,39.0,0.000312623999982,661
660,39.0,0.000317742999982,671
670,39.0,0.000322120999982,681
680,42.0,0.000327751999983,691
690,42.0,0.000332080999982,701
700,42.0,0.000339002999979,711
710,42.0,0.00034631699998,721
720,42.0,0.00035335099998,731
730,42.0,0.000363825999983,741
740,42.0,0.000373695999983,751
750,42.0,0.000383298999985,761
760,42.0,0.000393058999983,771
770,42.0,0.000402779999988,781
780,42.0,0.00041285799999,791
790,43.0,0.00042205199999,801
800,43.0,0.000431417999984,811
810,43.0,0.00044149899999,821
820,43.0,0.000450827999984,831
830,43.0,0.000460459999985,841
840,44.0,0.00046963099998,851
850,44.0,0.000479618999982,861
860,44.0,0.000490663999983,871
870,44.0,0.000500857999981,881
880,44.0,0.000510554999977,891
890,45.0,0.000519325999974,901
