,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0356633186340332,0.001414012908935547,0.08300371299754866,0.08269054375524479,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 2}",556,0.11051385050216153,0.07323933246590726,0.09024409368610796,0.06828384980206846,0.053721389757944916,0.09193455045841899,0.04910863592296731,0.09776101738179775,0.11106399864963337,0.08223396866803143,0.0033356144891986085,1.6500494959932074e-05,0.026811139519499462,0.011042259927781182
1,0.07733969688415528,0.001490163803100586,0.06496303578666172,0.06556153959751174,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 3}",698,0.13324975248523926,0.13733150751136655,0.04761904761904767,0.047619047619047436,0.047619047619047464,0.04761904761904844,0.04761904761904767,0.04761904761904814,0.04761904761904741,0.04761904761904813,0.006732377665676329,2.1243296086040895e-05,0.03441459002262485,0.03588498395692741
2,0.060422754287719725,0.0015146732330322266,0.04761904761904759,0.047619047619047936,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 4}",913,0.047619047619047714,0.04761904761904754,0.04761904761904767,0.047619047619047436,0.047619047619047464,0.04761904761904844,0.04761904761904767,0.04761904761904814,0.04761904761904741,0.04761904761904813,0.010869510920689702,1.5485098582909717e-05,1.2442467314722195e-16,3.8493040964755174e-16
3,0.06375975608825683,0.001539897918701172,0.04761904761904761,0.047619047619047616,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 5}",909,0.047619047619047644,0.04761904761904739,0.04761904761904772,0.04761904761904728,0.04761904761904756,0.047619047619047485,0.04761904761904759,0.04761904761904796,0.04761904761904756,0.04761904761904795,0.008842236428496596,2.4150472248518296e-05,6.125035511128425e-17,2.8707236425739387e-16
4,0.1225968837738037,0.0015742778778076172,0.07261203089175765,0.08979185892193628,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 6}",642,0.054485719250054805,0.07101813110594928,0.08124475756059248,0.08821781862933258,0.060625281711254364,0.12816248045944917,0.11339063880375773,0.09022788532961859,0.05350828951917936,0.07133297908533187,0.03342096977335177,2.1908578887291226e-05,0.022642543139245113,0.020823810506134313
5,0.13985733985900878,0.0015969276428222656,0.09661619975672987,0.09998691557229435,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 7}",387,0.10222285638414036,0.10983709074407542,0.09168165893541692,0.09109732763574065,0.09531816684269397,0.09645014302914376,0.10322419991852853,0.10404049257890458,0.09057319069205012,0.0985095238736073,0.008609711705610439,1.7903949498361207e-05,0.005244275042827168,0.006436981550359546
6,0.17351298332214354,0.0016457557678222657,0.07613184487641805,0.07893461995987958,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 8}",627,0.06873132248602484,0.06489614868194446,0.10672887867778137,0.1065267829938388,0.08443579902756873,0.09406564855260967,0.05412665618682557,0.06117875415556436,0.06624058660356207,0.06800576541544065,0.05372330838172742,1.749245122877223e-05,0.018140516523050577,0.018011467431069378
7,0.10533323287963867,0.0016685962677001954,0.04761904761904767,0.04761904761904769,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 9}",849,0.047619047619047714,0.047619047619047714,0.04761904761904767,0.04761904761904714,0.0476190476190475,0.04761904761904829,0.04761904761904777,0.04761904761904734,0.04761904761904769,0.04761904761904802,0.028827341248503512,4.607949623400417e-05,9.120286884600572e-17,4.2338626521634115e-16
8,0.19424376487731934,0.0017220497131347657,0.10423266692659307,0.10687249647731374,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 10}",209,0.102379233004964,0.10252441264916051,0.09831488909581962,0.10234047409971476,0.11213510528245851,0.11583211750682171,0.09455749941220415,0.11241174391139963,0.11390932353917202,0.10125373421947206,0.019791685877342705,4.5430195732714816e-05,0.007571068493496861,0.0060328039955940905
9,0.187300443649292,0.0019139766693115235,0.061045214497981184,0.05233816337633007,0.1,"(10,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 15}",732,0.047619047619047714,0.047619047619047714,0.04764056018727672,0.04657721172439871,0.04809286898839126,0.04809740971071322,0.04758388711133003,0.0473790067141301,0.1150823594256588,0.07201814111336062,0.04425753250323559,2.151185717712638e-05,0.026820792355023267,0.00985228265580342
10,0.28064870834350586,0.0020886898040771485,0.10808513184023083,0.11302686689906265,0.1,"(10,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 20}",143,0.10288576396462791,0.09871923928903781,0.11586325261438489,0.10954347504907662,0.09501149013804414,0.09358616244685594,0.10026528168532997,0.11595453630668802,0.12654269995639425,0.14733092140365478,0.03327641946021038,5.411851767930085e-05,0.01145729917708417,0.018868612136668225
