k,Red Wine Quality log-likelihood
2,-8.31903215676083
3,-8.155023896784662
4,-8.022771235227923
5,-7.898052917280679
6,-7.859362940293683
7,-7.779548880718205
8,-7.74617319683694
9,-7.645716654468946
10,-7.652553630465116
15,-7.4427562709470045
20,-7.152394269155925
25,-6.92889325632283
30,-6.74989461935024
