k,Iris dataset BIC
2,-667.7074837194181
3,-629.9415032499882
4,-565.8670616545229
5,-469.7865636375437
6,-424.2706938975506
7,-420.268843877432
8,-518.8616616263487
9,-445.1940460975585
10,-410.0658800797929
15,7.383353294237622
20,135.4912537475368
25,238.0305149396272
30,390.4143284698589
