,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.08013882637023925,0.0013920783996582032,0.07550888262941594,0.06928935090719249,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 2}",989,0.047619047619047714,0.047805740464847174,0.13491817371831327,0.1135503397224967,0.09953417350712934,0.08971238238297605,0.04719187974207211,0.047739688269543626,0.047697368421052704,0.04763860369609896,0.0240715518813844,0.0001270075620285241,0.03600464648179087,0.027462059929302216
1,0.19192161560058593,0.0013008594512939453,0.08642331139114633,0.10325064011105231,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 3}",933,0.08342019894119765,0.08622547183048901,0.09751550912699243,0.09629270812662132,0.078827489558013,0.16047572911352784,0.06699499578722257,0.07145605504451852,0.10538443646595226,0.10180323644010489,0.025756925467722836,5.43526176727331e-05,0.013571248384261131,0.030417003799725038
2,0.10683722496032715,0.001310110092163086,0.10890920998543628,0.08813655270810208,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 4}",721,0.0670915152269412,0.06243594849117142,0.2632948117321175,0.1466790512102482,0.05436858133569046,0.05421425694497662,0.10157895563842437,0.1151180619038624,0.05676643143189028,0.06223544499025171,0.007642150786234353,0.00010640511938496285,0.07937458158635115,0.03643442481314243
3,0.11792693138122559,0.0012652873992919922,0.12826768049614123,0.11231471686261443,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 5}",432,0.11059967490936846,0.1004488426380296,0.14141733682940513,0.13018158642675393,0.16489914190230748,0.1400763602594912,0.16015330692543697,0.12774560043171404,0.06392534217834252,0.06312119455708347,0.02316311978854112,0.00015281384844275072,0.037230875155429416,0.02788851967308008
4,0.1476357936859131,0.0012992382049560546,0.1171776382093507,0.11799052804657313,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 6}",601,0.12500737666763176,0.14125889469424766,0.229984083441602,0.18453263870602155,0.1068409557615117,0.11735522285499568,0.049617754505449224,0.08123851501570176,0.07244722252887151,0.06556736896189902,0.03833414056408732,4.198837514208259e-05,0.06245641684679945,0.04258772372501194
5,0.11970500946044922,0.001290273666381836,0.12937702226807196,0.10177050428692855,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 7}",411,0.14133184514826133,0.10521707397207125,0.04917829371863461,0.04788467446844823,0.14560641164905802,0.047838202854228226,0.14656593961216804,0.15209587489767531,0.1652490227156572,0.15581669524221978,0.027342803068194442,5.819160167889803e-05,0.04112158284026307,0.0474929222506538
6,0.17225451469421388,0.0013340950012207032,0.0824981297447064,0.08523323705588441,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 8}",954,0.0711443173610188,0.07548933359810911,0.12064447328389853,0.1058993552119283,0.09511844506942235,0.13022992716079076,0.05631067961165065,0.047830762186090996,0.06880308244331042,0.06671680712250291,0.03693602196115564,7.415699369762782e-06,0.022901882336043948,0.029286643776623992
7,0.15171175003051757,0.0013403892517089844,0.1257100057333451,0.12622009038985665,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 9}",470,0.09978911206106,0.10559691535596312,0.17777858405554908,0.1599779920974708,0.07980100498735042,0.08426689132044103,0.1409014968775695,0.13961081621821364,0.13026971516747549,0.1416478369571946,0.02717504694453189,3.243649500760629e-05,0.033958968531914956,0.02735803023133719
8,0.1636040687561035,0.001349020004272461,0.11652901505226947,0.11074601149868366,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 10}",617,0.06914055196436229,0.08241195652487336,0.08761283585336344,0.09133038429998591,0.10513560467131221,0.11690984672728721,0.16319370914306797,0.15951936573757736,0.15918974570303487,0.10355850420369443,0.02017543778929441,1.5447168994904713e-05,0.03796768487931869,0.02701213971654679
9,0.1529315948486328,0.0013547897338867187,0.06054931992285006,0.06468372218357482,0.1,"(10,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 15}",1008,0.04745970812675825,0.04793524596145053,0.046696992874683034,0.04745509954824158,0.05989789690796485,0.06576746070166738,0.04777594728171349,0.047591899711674567,0.10158404247186353,0.11466890499484002,0.02427416062748723,2.2915287658878007e-05,0.02094492148450033,0.025958275285295564
