iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.116756333065,0.115621642346,0.108826837834,0.660358565737,0.654970760234,0.656126482213,0.795440911818,0.791519434629,0.792362768496,0.018130164
10,0.113362221492,0.11098272996,0.105407731732,0.671314741036,0.666666666667,0.660079051383,0.803337306317,0.8,0.795238095238,0.122282552
20,0.107053417724,0.103824964729,0.098533411916,0.681274900398,0.678362573099,0.671936758893,0.810426540284,0.808362369338,0.80378250591,0.222540205
30,0.105941714931,0.10295604747,0.0972606129949,0.68625498008,0.687134502924,0.683794466403,0.81393975192,0.814558058925,0.81220657277,0.322270772
40,0.0937134524176,0.092597621463,0.0874328825071,0.732071713147,0.730994152047,0.719367588933,0.845313398505,0.844594594595,0.836781609195,0.421163257
50,0.0813992565731,0.0801347805223,0.0749372141872,0.778884462151,0.783625730994,0.774703557312,0.875699888018,0.87868852459,0.873051224944,0.519590487
60,0.0780876504928,0.0768114073805,0.0711061401921,0.785856573705,0.789473684211,0.794466403162,0.880089235917,0.882352941176,0.885462555066,0.617729105
70,0.0779404289752,0.0767005660278,0.0709396149906,0.785856573705,0.792397660819,0.794466403162,0.880089235917,0.884176182708,0.885462555066,0.714386735
80,0.0742229106435,0.0723576051666,0.0670297508234,0.80577689243,0.80701754386,0.802371541502,0.892443463872,0.893203883495,0.890350877193,0.810999098
90,0.0734918486625,0.0716286157994,0.0665914255412,0.808764940239,0.812865497076,0.802371541502,0.894273127753,0.896774193548,0.890350877193,0.907698357
100,0.0674460830994,0.0659290297893,0.0611003499426,0.828685258964,0.847953216374,0.826086956522,0.906318082789,0.917721518987,0.904761904762,1.004352997
110,0.066454420992,0.0648536627536,0.0601193102051,0.831673306773,0.847953216374,0.830039525692,0.908102229473,0.917721518987,0.907127429806,1.104494389
120,0.0625125169714,0.0616351851808,0.0565527687227,0.844621513944,0.847953216374,0.841897233202,0.915766738661,0.917721518987,0.914163090129,1.200859698
130,0.0621452730704,0.0611568719314,0.0560356181324,0.847609561753,0.853801169591,0.841897233202,0.917520215633,0.921135646688,0.914163090129,1.29738462
140,0.058061750666,0.0581476795162,0.0524699948153,0.862549800797,0.874269005848,0.849802371542,0.926203208556,0.932917316693,0.918803418803,1.393830404
150,0.057403217962,0.057686775926,0.0519839023509,0.864541832669,0.868421052632,0.849802371542,0.92735042735,0.929577464789,0.918803418803,1.502214774
160,0.0543374992568,0.0548442905892,0.0489025006008,0.879482071713,0.877192982456,0.873517786561,0.935877053524,0.934579439252,0.932489451477,1.610594137
170,0.0437701356283,0.0456927072206,0.037776091834,0.915338645418,0.909356725146,0.920948616601,0.955798231929,0.952526799387,0.958847736626,1.718443858
180,0.0365557936824,0.0389808053588,0.0299333686528,0.930278884462,0.926900584795,0.940711462451,0.963880288958,0.962063732929,0.969450101833,1.826762714
190,0.0349755409664,0.0375879195021,0.0285965112787,0.932270916335,0.929824561404,0.944664031621,0.964948453608,0.963636363636,0.971544715447,1.934636284
200,0.0340872388486,0.0365269152824,0.0273547514536,0.934262948207,0.938596491228,0.944664031621,0.966014418126,0.968325791855,0.971544715447,2.042744471
210,0.0329041486293,0.0352228809162,0.0256908802021,0.940239043825,0.938596491228,0.95256916996,0.969199178645,0.968325791855,0.975708502024,2.150541805
220,0.0308205204895,0.0331594196078,0.0233841818176,0.942231075697,0.938596491228,0.95652173913,0.970256410256,0.968325791855,0.977777777778,2.258580312
230,0.0297474684506,0.031951435666,0.022281737737,0.942231075697,0.941520467836,0.95652173913,0.970256410256,0.969879518072,0.977777777778,2.366394497
240,0.0288668426236,0.0312236675936,0.0212947668146,0.946215139442,0.944444444444,0.9604743083,0.972364380757,0.971428571429,0.979838709677,2.474330764
250,0.028939783668,0.0313955149326,0.0215925059719,0.948207171315,0.944444444444,0.9604743083,0.973415132924,0.971428571429,0.979838709677,2.583043419
260,0.0273033304498,0.0298382879187,0.0198844342745,0.950199203187,0.947368421053,0.96837944664,0.974463738509,0.972972972973,0.983935742972,2.694675126
270,0.025554577981,0.0283012918299,0.0183436698898,0.954183266932,0.950292397661,0.97628458498,0.976554536188,0.974512743628,0.988,2.802408437
280,0.025304114993,0.02815209243,0.018138693624,0.954183266932,0.950292397661,0.97628458498,0.976554536188,0.974512743628,0.988,2.910240335
290,0.0276089941644,0.0301376512365,0.0193856037018,0.946215139442,0.944444444444,0.97233201581,0.972364380757,0.971428571429,0.985971943888,3.018026664
300,0.0243161700529,0.0273074886373,0.0165696740146,0.956175298805,0.953216374269,0.98814229249,0.977596741344,0.976047904192,0.994035785288,3.125808075
310,0.0237933230263,0.026790041683,0.0158671329402,0.957171314741,0.953216374269,0.99209486166,0.978117048346,0.976047904192,0.996031746032,3.233729616
320,0.0216926660924,0.0247507873684,0.01379468423,0.96015936255,0.953216374269,0.99209486166,0.979674796748,0.976047904192,0.996031746032,3.341560462
