params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.3855520000000001,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",1.3351619999999995,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",1.42694,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",0.8735379999999999,100,0.00011177107411417035,0.0,0.0,0.006993006993006993,0.0008072147534251356
"{""discount_factor"": 0.4}",0.8514610000000005,100,0.00013006230529595013,0.0,0.0,0.008333333333333333,0.0009465135621077231
"{""discount_factor"": 0.5}",0.8548989999999996,100,0.0024523526157737012,0.0,0.0,0.029411764705882353,0.006024218518542683
"{""discount_factor"": 0.6}",0.8284749999999992,100,0.009329687560114618,0.0,0.0,0.043478260869565216,0.01206907974915536
"{""discount_factor"": 0.7}",0.899222,100,0.008821181174337835,0.008002048524422253,0.0,0.03125,0.009520764678288742
"{""discount_factor"": 0.8}",0.9583240000000011,100,0.011845123019240185,0.01227409638554217,0.0,0.05,0.010869108672058616
"{""discount_factor"": 0.9}",0.880808,100,0.013282316184852705,0.013888888888888888,0.0,0.034482758620689655,0.008808769262475246
