steps,time,reward,delta,converged
1,0.0025919999999999277,-31.49808336111164,133.77031541611314,False
2,0.0029109999999992198,188.676037757763,5.0419199180800005,False
3,0.0029120000000002477,191.3772779630727,0.008079897598361807,False
4,0.00294300000000014,191.38050976030917,0.0016158975918081353,False
5,0.002929999999999211,191.3817687477715,0.0003230975590400309,False
6,0.002923000000000009,191.3818472186511,6.453739519995949e-05,False
7,0.0029289999999999594,191.38186280658533,1.2824576000047827e-05,False
8,0.0029849999999997934,191.38186580754433,2.4780799998680436e-06,False
9,0.0029889999999994643,191.38186580754433,4.0960000546874653e-07,True
