,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0066239356994628905,0.0004605293273925781,0.45833333333333337,0.4729166666666669,0.1,"(10,)",2,"{'rp__n_components': 2, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",420,0.5416666666666666,0.4687500000000003,0.4583333333333333,0.4687500000000003,0.375,0.4895833333333336,0.4583333333333333,0.46875000000000033,0.4583333333333335,0.46875,0.0017789452787726067,2.6969177878243475e-05,0.0529256124024963,0.008333333333333349
1,0.005701398849487305,0.00044388771057128905,0.33333333333333337,0.3333333333333334,0.1,"(10,)",3,"{'rp__n_components': 3, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",529,0.3333333333333333,0.33333333333333354,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333335,0.33333333333333337,0.3333333333333333,3.80916790768531e-05,1.2944526116514866e-05,4.985886294262796e-17,7.447602459741819e-17
2,0.005726003646850586,0.00044574737548828123,0.33333333333333337,0.3333333333333334,0.1,"(10,)",4,"{'rp__n_components': 4, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",529,0.3333333333333333,0.33333333333333354,0.3333333333333333,0.3333333333333335,0.3333333333333333,0.3333333333333335,0.3333333333333333,0.33333333333333354,0.33333333333333337,0.3333333333333333,2.9783280965327904e-05,1.4509176101552799e-05,4.985886294262796e-17,9.288792252416251e-17
3,0.005718994140625,0.00043792724609375,0.6081932773109243,0.6083333333333336,0.1,"(10,)",5,"{'rp__n_components': 5, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",177,0.5833333333333334,0.6145833333333337,0.625,0.604166666666667,0.625,0.6041666666666671,0.5833333333333334,0.6145833333333337,0.6250000000000002,0.6041666666666666,8.049090326291198e-06,8.971637593377485e-07,0.0204405035284684,0.005103103630798361
4,0.00572361946105957,0.00043921470642089845,0.33333333333333337,0.3333333333333334,0.1,"(10,)",6,"{'rp__n_components': 6, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",529,0.3333333333333333,0.3333333333333335,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333335,0.33333333333333337,0.3333333333333333,3.427261891568453e-06,2.5563097293243806e-06,4.985886294262796e-17,6.080941944488117e-17
5,0.005745029449462891,0.0004383087158203125,0.33333333333333337,0.3333333333333334,0.1,"(10,)",7,"{'rp__n_components': 7, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",529,0.3333333333333333,0.33333333333333354,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333335,0.33333333333333337,0.3333333333333333,6.938922791893481e-06,2.2446827499274865e-06,4.985886294262796e-17,7.447602459741819e-17
6,0.010519266128540039,0.00043740272521972654,0.5163565426170469,0.520161290322581,0.1,"(10,)",8,"{'rp__n_components': 8, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",332,0.5416666666666666,0.5833333333333337,0.5833333333333334,0.5520833333333336,0.5,0.4879032258064519,0.5416666666666666,0.47748655913978527,0.41071428571428586,0.5,0.000492680672594646,1.1344315770502394e-06,0.05808699285671022,0.040688860597108766
7,0.005793380737304688,0.00043697357177734374,0.4250700280112045,0.42500000000000016,0.1,"(10,)",9,"{'rp__n_components': 9, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",445,0.4583333333333333,0.41666666666666696,0.4583333333333333,0.4166666666666669,0.4166666666666667,0.42708333333333354,0.375,0.4375000000000002,0.41666666666666674,0.4270833333333333,8.547763266897849e-06,3.3187318117724068e-06,0.03130181602048599,0.00779511955577901
8,0.0061305522918701175,0.0004394054412841797,0.33333333333333337,0.33958333333333346,0.1,"(10,)",10,"{'rp__n_components': 10, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",529,0.3333333333333333,0.36458333333333354,0.3333333333333333,0.3333333333333335,0.3333333333333333,0.3333333333333335,0.3333333333333333,0.33333333333333354,0.33333333333333337,0.3333333333333333,0.000702616221054665,2.2517621904597462e-06,4.985886294262796e-17,0.012500000000000034
9,0.005808210372924805,0.00043807029724121096,0.33333333333333337,0.3333333333333334,0.1,"(10,)",11,"{'rp__n_components': 11, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",529,0.3333333333333333,0.3333333333333335,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333335,0.33333333333333337,0.3333333333333333,9.589763123757002e-06,9.956652172956992e-07,4.985886294262796e-17,6.080941944488117e-17
10,0.00978856086730957,0.00043802261352539064,0.4380752300920368,0.43454301075268836,0.1,"(20,)",2,"{'rp__n_components': 2, 'NN__hidden_layer_sizes': (20,), 'NN__alpha': 0.1}",428,0.375,0.4650537634408606,0.5,0.43346774193548415,0.375,0.46538978494623684,0.5,0.4338037634408606,0.4404761904761906,0.375,0.0008293463170113803,8.971637593377486e-07,0.05614838919207241,0.03295300388996012
