iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.417415768046,0.415247494629,0.400603519585,0.159362549801,0.16081871345,0.185770750988,0.437087893697,0.478932119205,0.459142104002,0.065863397
10,0.0775369147084,0.0725057378005,0.0919489641051,0.841633466135,0.850877192982,0.806324110672,0.534190179737,0.479552980132,0.550203690391,0.396166653
20,0.0633913449944,0.0720699914298,0.0817703582171,0.850597609562,0.830409356725,0.814229249012,0.795645479801,0.725455298013,0.761382698299,0.742407558
30,0.026694603884,0.0613566566021,0.0611680748583,0.923306772908,0.847953216374,0.857707509881,0.941254978746,0.718956953642,0.771267673137,1.088065003
40,0.00948827306831,0.0582957228899,0.057708886137,0.978087649402,0.859649122807,0.861660079051,0.99049017639,0.767508278146,0.800503235083,1.435210937
50,0.00469275751083,0.0542427250903,0.0538325706825,0.991035856574,0.874269005848,0.877470355731,0.99809636175,0.774254966887,0.786125089863,1.787351886
60,0.00136923833797,0.0557042500982,0.0589567332451,0.997011952191,0.865497076023,0.869565217391,0.999966529437,0.752731788079,0.765636232926,2.157878815
70,0.000343634158729,0.0532688775576,0.0611670865123,1.0,0.874269005848,0.865612648221,1.0,0.737789735099,0.778037383178,2.523187338
80,8.52467401737e-05,0.0578377005302,0.0568957627951,1.0,0.87134502924,0.873517786561,1.0,0.761216887417,0.763120057513,2.873888949
90,2.7816204151e-05,0.0635476191079,0.0525079956465,1.0,0.856725146199,0.893280632411,0.994226327945,0.731374172185,0.796788880901,3.223773915
100,6.97043975441e-06,0.0649625057877,0.055098198686,1.0,0.856725146199,0.885375494071,0.990762124711,0.695860927152,0.753055355859,3.572050672
110,1.63411467675e-06,0.0638939745592,0.0563413656852,1.0,0.856725146199,0.885375494071,0.963048498845,0.660306291391,0.730649412892,3.920301642
120,2.89425177171e-07,0.0627774150683,0.0619143896648,1.0,0.862573099415,0.873517786561,0.944572748268,0.678766556291,0.703510663791,4.267832931
130,0.00099602076875,0.0586209045573,0.0569312571887,0.998007968127,0.880116959064,0.881422924901,0.893400441811,0.635471854305,0.672298106878,4.612876949
140,0.000548279572981,0.0554649092762,0.0615380306901,0.999003984064,0.885964912281,0.873517786561,0.879907621247,0.602938741722,0.632278936017,4.957136002
150,4.4784146091e-09,0.0655878748807,0.0674538614304,1.0,0.862573099415,0.857707509881,0.854503464203,0.580587748344,0.582614426072,5.302339989
160,0.00226129866203,0.0693432124511,0.0735560445223,0.995019920319,0.853801169591,0.849802371542,0.824350671085,0.566390728477,0.557692307692,5.646870097
170,0.000325909623128,0.0663638756887,0.067853901336,0.999003984064,0.865497076023,0.861660079051,0.788683602771,0.53803807947,0.540378624491,5.993734371
180,4.35187977898e-11,0.0603789868581,0.0657965631473,1.0,0.877192982456,0.869565217391,0.770207852194,0.550455298013,0.558411214953,6.338468252
190,0.000117862090169,0.0616202879864,0.0675076305389,1.0,0.874269005848,0.861660079051,0.750577367206,0.52309602649,0.529115744069,6.683346654
