,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.027458047866821288,0.0009670257568359375,0.04761904761904753,0.04761904761904737,0.1,"(10,)",2,"{'ica__n_components': 2, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",583,0.047619047619047526,0.04761904761904721,0.047619047619047554,0.04761904761904721,0.04761904761904754,0.04761904761904771,0.04761904761904752,0.04761904761904659,0.04761904761904751,0.04761904761904812,0.0006224072993621142,1.3899619132340075e-05,1.5188222473579498e-17,5.181825478019e-16
1,0.05040364265441895,0.0009601593017578125,0.12427312147058794,0.12050221526082816,0.1,"(10,)",3,"{'ica__n_components': 3, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",4,0.04775280898876424,0.047444119295186334,0.17580154477883125,0.16866112354467008,0.17065689728285285,0.16932261848634,0.047899973584573485,0.04775328963654879,0.17970324645321262,0.16932992534139554,0.0010002986481184915,5.054024010557597e-06,0.06256577890630584,0.059526043133265406
2,0.027826261520385743,0.0009224891662597656,0.0476190476190476,0.047619047619047464,0.1,"(10,)",4,"{'ica__n_components': 4, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",539,0.04761904761904763,0.04761904761904726,0.04761904761904766,0.04761904761904726,0.04761904761904772,0.04761904761904758,0.047619047619047575,0.04761904761904694,0.04761904761904743,0.04761904761904828,0.0011917422484631966,3.2036928238374376e-06,9.835109524586793e-17,4.552252871008668e-16
3,0.054013633728027345,0.0009074687957763671,0.047271421181082025,0.04759268758341155,0.1,"(10,)",5,"{'ica__n_components': 5, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",797,0.04762611275964411,0.047482347736012905,0.04724409448818916,0.04800637437076629,0.04761904761904777,0.04746452331555248,0.04649122807017553,0.04717595102804187,0.04737349272078534,0.04783424146668423,0.020043731112948635,9.416349553835324e-05,0.000416140438240851,0.0002938555272977502
4,0.04747552871704101,0.0008804798126220703,0.047619047619047714,0.04761904761904718,0.1,"(10,)",6,"{'ica__n_components': 6, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",428,0.04761904761904781,0.047619047619046846,0.047619047619047825,0.047619047619046846,0.04761904761904777,0.04761904761904743,0.047619047619047714,0.047619047619046305,0.04761904761904746,0.04761904761904845,0.026462531305610236,0.00010497914149864773,1.3432272876169125e-16,7.295348589900901e-16
5,0.03731756210327149,0.0009294509887695313,0.04761904761904759,0.04761904761904744,0.1,"(10,)",7,"{'ica__n_components': 7, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",559,0.0476190476190476,0.047619047619047276,0.04761904761904762,0.047619047619047276,0.047619047619047734,0.04761904761904756,0.047619047619047575,0.04761904761904696,0.04761904761904741,0.047619047619048144,0.00914195653163532,4.3379079496552125e-06,1.0495696803856004e-16,3.9911610553856163e-16
6,0.03684682846069336,0.0009312629699707031,0.047619047619047714,0.04761904761904718,0.1,"(10,)",8,"{'ica__n_components': 8, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",428,0.04761904761904781,0.047619047619046846,0.047619047619047825,0.047619047619046846,0.04761904761904777,0.04761904761904743,0.047619047619047714,0.047619047619046305,0.04761904761904746,0.04761904761904845,0.008914836639080919,2.132480599880018e-06,1.3432272876169125e-16,7.295348589900901e-16
7,0.05569701194763184,0.0009424209594726563,0.048491698902556224,0.047551064646489456,0.1,"(10,)",9,"{'ica__n_components': 9, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",355,0.047807017543859555,0.04755021517046407,0.0478325859491778,0.047595195196708864,0.051354534746760806,0.04731861198738179,0.04761904761904752,0.04761904761904659,0.047839506172839406,0.04767225325884594,0.002596274682980983,1.666435011531614e-05,0.001435101528514933,0.00012271171918036555
8,0.035398674011230466,0.000946044921875,0.04761904761904759,0.04761904761904744,0.1,"(10,)",10,"{'ica__n_components': 10, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",559,0.0476190476190476,0.047619047619047276,0.04761904761904762,0.047619047619047276,0.047619047619047734,0.04761904761904756,0.047619047619047575,0.04761904761904696,0.04761904761904741,0.047619047619048144,0.0025677201223186404,1.7988835840342975e-05,1.0495696803856004e-16,3.9911610553856163e-16
9,0.056400632858276366,0.0009306907653808594,0.05490761723259213,0.0508615173744684,0.1,"(10,)",11,"{'ica__n_components': 11, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",236,0.0551707339638578,0.05575627400948769,0.05734699793133107,0.0492415798869331,0.04761904761904754,0.04761904761904771,0.04761904761904752,0.047518972562754364,0.06688357467531979,0.05417171279411917,0.0014760700346700378,3.193741235664435e-06,0.007130530682838279,0.0034416986977072483
10,0.027050352096557616,0.0009347915649414063,0.04761904761904753,0.04761904761904737,0.1,"(20,)",2,"{'ica__n_components': 2, 'NN__hidden_layer_sizes': (20,), 'NN__alpha': 0.1}",583,0.047619047619047526,0.04761904761904721,0.047619047619047554,0.04761904761904721,0.04761904761904754,0.04761904761904771,0.04761904761904752,0.04761904761904659,0.04761904761904751,0.04761904761904812,0.00017178984973769372,4.921828052839914e-06,1.5188222473579498e-17,5.181825478019e-16
