iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.235896951872,0.240766244742,0.226730290074,0.30577689243,0.289473684211,0.320158102767,0.676481909161,0.64619205298,0.723759884975,0.00951131900001
50,0.25871718038,0.265628032856,0.252033492457,0.235059760956,0.204678362573,0.245059288538,0.662470294876,0.637251655629,0.708303378864,0.542998325
100,0.238322247081,0.244374347741,0.231391181683,0.279880478088,0.260233918129,0.300395256917,0.655918432239,0.637293046358,0.697759405703,1.088117348
150,0.205290366105,0.208373083475,0.203114350449,0.368525896414,0.362573099415,0.359683794466,0.638973959902,0.623220198675,0.671159837048,1.624070648
200,0.166160763821,0.166739502533,0.165633127405,0.461155378486,0.461988304094,0.454545454545,0.638543026408,0.627897350993,0.658099688474,2.16686657
250,0.112724409839,0.112226917255,0.112753872938,0.66235059761,0.646198830409,0.675889328063,0.632999464471,0.622599337748,0.620896237719,2.709750273
300,0.0927062553089,0.0916265916628,0.097702610133,0.738047808765,0.719298245614,0.731225296443,0.643421360913,0.630960264901,0.598370476875,3.253371639
350,0.0832846622747,0.0800688228936,0.0880787217693,0.77390438247,0.780701754386,0.766798418972,0.661558222044,0.657988410596,0.616762520968,3.793460814
400,0.0765520535158,0.0725867471256,0.083313874873,0.798804780876,0.801169590643,0.770750988142,0.678046657964,0.668956953642,0.619039060628,4.345957824
450,0.0679440212523,0.0626378521295,0.0762669244686,0.810756972112,0.824561403509,0.782608695652,0.714496100679,0.716059602649,0.628145219267,4.882428206
500,0.0643313476978,0.0592161195046,0.0724751532788,0.822709163347,0.827485380117,0.794466403162,0.727578906851,0.734064569536,0.647375988497,5.419250924
550,0.0594239421298,0.0544348474839,0.0690061737893,0.844621513944,0.856725146199,0.822134387352,0.730281654785,0.731374172185,0.651329978433,5.956344655
600,0.0543784924705,0.0481577849436,0.0648981720677,0.859561752988,0.874269005848,0.818181818182,0.734034541621,0.73125,0.650431344357,6.482675512
650,0.0531196614065,0.045665137524,0.0626687704245,0.859561752988,0.877192982456,0.833992094862,0.738293670717,0.739486754967,0.657021327582,7.020344392
700,0.0525209639392,0.0456212261598,0.0618448263612,0.863545816733,0.883040935673,0.830039525692,0.745046356729,0.74511589404,0.673975557153,7.56645055
