k,Iris dataset sse (left)
2,43.52883382394337
3,15.373074660413417
4,6.290829113001173
5,3.974590068095921
6,3.1894924756519383
7,2.4841074329189317
8,1.8803808724796511
9,1.3611598448255007
10,1.1121101013549284
15,0.42260405736203366
20,0.17140119110989235
25,0.09286216611994014
30,0.05171475102118889
