k,Iris dataset BIC
2,283.3114380336589
3,282.7049832665376
4,291.3162024101829
5,302.5516987460006
6,314.5682679899989
7,326.7753145263698
8,336.5482547464636
9,349.95068645233033
10,360.3288477850555
15,396.32914741641207
20,440.14065359655024
25,486.28604543140375
30,517.1297160566787
