k,Red Wine Quality BIC
2,10803.834866697567
3,10633.480467847421
4,10658.203844613907
5,10702.379665888599
6,10676.520493738124
7,10744.860293297326
8,10754.756975340206
9,10788.02109650224
10,10850.34841744127
15,11018.48491533469
20,11221.38476330673
25,11474.408476608396
30,11675.811104874112
