k,Iris dataset log-likelihood
2,-1.371273966187664
3,-1.2961787796512279
4,-1.2695976663293524
5,-1.256828538229437
6,-1.2481703201725773
7,-1.240514614180837
8,-1.2200478223139535
9,-1.2186836172142963
10,-1.20140219962442
15,-1.0313608641367806
20,-0.9024311420637807
25,-0.7857850286998093
30,-0.588603540548582
