k,Red Wine Quality log-likelihood
2,-5.221220180065097
3,-5.103974795252092
4,-5.0821686353004525
5,-5.0698793268694615
6,-5.0233263230249845
7,-5.022858921778197
8,-4.993798997284675
9,-4.976171283710506
10,-4.972762356719994
15,-4.885512190064044
20,-4.815269533231294
25,-4.769549315405209
30,-4.698574163608503
