k,Iris dataset BIC
2,183.1594260559643
3,179.81485525782017
4,200.53966093863392
5,226.20961603465366
6,246.69077645509154
7,252.62629903879093
8,254.75009475088657
9,97.28304326729767
10,120.47684595980442
15,135.30929774548963
20,133.81922188498686
25,-18.401253396226366
30,69.20933256510773
