k,Iris dataset log-likelihood
2,-0.7003514749913597
3,-0.5389418321084788
4,-0.5042131180622184
5,-0.4955115062012524
6,-0.4595004486793296
7,-0.34693340254299354
8,-0.2143046360297956
9,0.7582759578291105
10,0.7800099507611972
15,1.4209776084576764
20,2.14785330639725
25,3.6680468960247734
30,3.9259717422704683
