k,Red Wine Quality BIC
2,8091.635484819729
3,7935.922363108906
4,7875.3797290896855
5,7910.939269780494
6,7979.680090884804
7,8019.124936063311
8,8076.448109103648
9,8096.278426212757
10,8137.962299255675
15,8366.102586786328
20,8575.03162041602
25,8826.863688769661
30,9066.177119667205
