k,Red Wine Quality sse (left)
2,2071.530499112063
3,1620.2863685169593
4,1296.1509863785045
5,1117.2922519853316
6,984.6233460633014
7,856.6176282421501
8,782.8790889875798
9,727.7838615970245
10,687.2309665738888
15,526.5709430510402
20,430.6857746920265
25,357.94404070206883
30,308.1663130007026
