k,Iris dataset sse (left)
2,34.27409038056644
3,11.538277572728134
4,7.252311669567774
5,5.598838914274248
6,4.0886035849499445
7,3.457499598399032
8,2.915343312860449
9,2.5169343283233383
10,2.189107858403756
15,1.2897771770691362
20,0.8096824858827539
25,0.5261479673069999
30,0.3706583785535862
