steps,time,reward,delta,converged
1,0.0006190000000003693,0.6666666666666666,0.3333333333333333,False
2,0.0005969999999990705,1.014074074074074,0.09592592592592591,False
3,0.0005680000000012342,1.2237053497942387,0.044765432098765434,False
4,0.000565000000001703,1.346902574759945,0.02176097393689981,False
5,0.0005639999999971224,1.4210477224320477,0.010365359625057163,False
6,0.0005640000000042278,1.4665050948232983,0.005684391591728906,False
7,0.0005580000000051655,1.4945166040293691,0.0031316308613535543,False
8,0.0005560000000031096,1.5119338992860851,0.0016981047358370222,False
9,0.00055799999999806,1.5228604970826338,0.0009856818095127055,False
10,0.000560000000000116,1.5297620387890132,0.0005613577611740042,False
11,0.0005619999999950664,1.5341412950518418,0.0003246400330647742,False
12,0.0005580000000051655,1.536925057437033,0.00019135855484500933,False
13,0.0005559999999960041,1.5386939688285994,0.0001106953377066715,False
14,0.0005560000000031096,1.5398216790104904,7.720664818667536e-05,False
15,0.0005659999999991783,1.5405401206160376,5.1657694869004225e-05,False
16,0.0005590000000026407,1.5409965977338376,3.3806048482773075e-05,False
17,0.000560000000000116,1.541285556130749,2.1730078130854512e-05,False
18,0.0005569999999934794,1.5414676256474533,1.3628113689329664e-05,False
19,0.0005620000000021719,1.5415817099252793,8.436075290981903e-06,True
