steps,time,reward,delta,converged
1,0.0038109999999278443,0.0,0,False
2,0.0014909999999872525,0.0,0,False
3,0.004229000000009364,0.0,0,False
4,0.0026939999999058273,0.0,0,False
5,0.003018999999994776,0.0,0,False
6,0.00423200000000179,0.0,0,False
7,0.006173999999987245,0.0,0,False
8,0.0034440000000586224,0.0,0,False
9,0.0025489999999308566,0.0,0,False
10,0.000643999999965672,0.0,0,False
11,0.002685000000042237,0.0,0,False
12,0.002594000000044616,0.0,0,False
13,0.00686299999995299,0.0,0,False
14,0.0012559999998984495,0.0,0,False
15,0.007393999999976586,0.0,0,False
16,0.0019770000000107757,0.0,0,False
17,0.003111999999987347,0.0,0,False
18,0.0021440000000438886,0.0,0,False
19,0.005536000000006425,0.0,0,False
20,0.0006840000000920554,0.0,0,False
21,0.0099800000000414,0.0,0,False
22,0.0032980000000861764,0.0,0,False
23,0.008999999999900865,0.0,0,False
24,0.0006799999999884676,0.0,0,False
25,0.001960999999937485,0.0,0,False
26,0.0037459999999782667,0.0,0,False
27,0.00830699999994522,0.0,0,False
28,0.003428999999982807,0.0,0,False
29,0.0006829999999808933,0.0,0,False
30,0.0032810000000154105,0.0,0,False
31,0.007303000000092652,0.0,0,False
32,0.0024020000000746222,0.0,0,False
33,0.0006399999999757711,0.0,0,False
34,0.0022310000000516084,0.0,0,False
35,0.0027109999999765932,0.0,0,False
36,0.0038010000000667787,0.0,0,False
37,0.003367000000025655,0.0,0,False
38,0.002304999999978463,0.0,0,False
39,0.0019270000000233267,0.0,0,False
40,0.0039050000000315777,0.0,0,False
41,0.001874000000043452,0.0,0,False
42,0.019847999999910826,0.0,0,False
43,0.0025369999999611537,0.0,0,False
44,0.004368999999996959,0.0,0,False
45,0.00541499999997086,0.0,0,False
46,0.0030309999999644788,0.0,0,False
47,0.0034180000000105792,0.0,0,False
48,0.009748999999942498,0.0,0,False
49,0.00377200000002631,0.0,0,False
50,0.0008569999999963329,0.0,0,False
51,0.004029999999943357,0.0,0,False
52,0.00492199999996501,0.0,0,False
53,0.005762000000004264,0.0,0,False
54,0.0024369999999862557,0.0,0,False
55,0.004275000000006912,0.0,0,False
56,0.01005099999997583,0.0,0,False
57,0.002095000000053915,0.0,0,False
58,0.001564000000030319,0.0,0,False
59,0.0025439999999434804,0.0,0,False
60,0.0018579999999701613,0.0,0,False
61,0.01156700000001365,0.0,0,False
62,0.02219800000000305,0.0,0,False
63,0.0024859999999762294,0.0,0,False
64,0.007032999999978529,0.0,0,False
65,0.0048620000000028085,0.0,0,False
66,0.006620999999995547,0.0,0,False
67,0.0037240000000338114,0.0,0,False
68,0.01952599999992799,0.0,0,False
69,0.008719000000041888,0.0,0,False
70,0.01116500000000542,0.0,0,False
71,0.011188999999944826,0.0,0,False
72,0.016635000000064792,0.0,0,False
73,0.0028290000000197324,0.0,0,False
74,0.006937999999991007,0.0,0,False
75,0.002970000000004802,0.0,0,False
76,0.0027489999999943393,0.0,0,False
77,0.0016019999999343781,0.0,0,False
78,0.0068360000000211585,0.0,0,False
79,0.0018670000000611253,0.0,0,False
80,0.0032800000000179352,0.0,0,False
81,0.003929999999968459,0.0,0,False
82,0.008371000000011009,0.0,0,False
83,0.002731000000039785,0.0,0,False
84,0.002755999999976666,0.0,0,False
85,0.0033270000000129585,0.0,0,False
86,0.0044440000000349755,0.0,0,False
87,0.0006759999999985666,0.0,0,False
88,0.010894000000007509,0.0,0,False
89,0.010656999999923755,0.0,0,False
90,0.005180999999993219,0.0,0,False
91,0.006064000000037595,0.0,0,False
92,0.002088000000071588,0.0,0,False
93,0.0026569999999992433,0.0,0,False
94,0.013114999999970678,0.0,0,False
95,0.007485999999971682,0.0,0,False
96,0.018204999999966276,0.0,0,False
97,0.004033999999933258,0.0,0,False
98,0.022193000000015672,0.0,0,False
99,0.007261999999968793,0.0,0,False
100,0.016334000000028936,0.0,0,False
101,0.02028599999994185,0.0,0,False
102,0.006531999999992877,0.0,0,False
103,0.005144999999970423,0.0,0,False
104,0.0014279999999189386,0.0,0,False
105,0.016164000000003398,0.0,0,False
106,0.0034160000000156288,0.0,0,False
107,0.011580999999978303,0.0,0,False
108,0.0032230000000481596,0.0,0,False
109,0.006411999999954787,0.0,0,False
110,0.0028879999999844586,0.0,0,False
111,0.0015209999999115098,0.0,0,False
112,0.008133000000043467,0.0,0,False
113,0.0022240000000692817,0.0,0,False
114,0.005295000000046457,0.0,0,False
115,0.001868999999942389,0.0,0,False
116,0.0022689999999556676,0.0,0,False
117,0.008851999999933469,0.0,0,False
118,0.014726999999993495,0.0,0,False
119,0.01788299999998344,0.0,0,False
120,0.007928999999990083,0.0,0,False
121,0.0017450000000280852,0.0,0,False
122,0.00813099999993483,0.0,0,False
123,0.0013850000000275031,0.0,0,False
124,0.013125000000059117,0.0,0,False
125,0.006068999999911284,0.0,0,False
126,0.0026699999999664215,0.0,0,False
127,0.005172000000015942,0.0,0,False
128,0.005026999999927284,0.0,0,False
129,0.022308999999950174,0.0,0,False
130,0.008346000000074127,0.0,0,False
131,0.0043009999999412685,0.0,0,False
132,0.0007729999999810389,0.0,0,False
133,0.0031060000000024957,0.0,0,False
134,0.005472000000054322,0.0,0,False
135,0.004640000000108557,0.0,0,False
136,0.012924999999995634,0.0,0,False
137,0.01182199999993827,0.0,0,False
138,0.010718999999994594,0.0,0,False
139,0.002584999999953652,0.0,0,False
140,0.012862000000041007,0.0,0,False
141,0.02215400000000045,0.0,0,False
142,0.011160000000018044,0.0,0,False
143,0.002838999999994485,0.0,0,False
144,0.01423499999998512,0.0,0,False
145,0.02207100000009632,0.0,0,False
146,0.022065999999995256,0.0,0,False
147,0.005395000000021355,0.0,0,False
148,0.003939999999943211,0.0,0,False
149,0.019939000000022133,0.0,0,False
150,0.011665999999991072,0.0,0,False
151,0.022109999999997854,0.0,0,False
152,0.004322000000001935,0.0,0,False
153,0.0017540000000053624,0.0,0,False
154,0.00705100000004677,0.0,0,False
155,0.022215999999957603,0.0,0,False
156,0.0137609999999313,0.0,0,False
157,0.02228700000000572,0.0,0,False
158,0.020658000000025822,0.0,0,False
159,0.020325999999954547,0.0,0,False
160,0.001354999999989559,0.0,0,False
161,0.015598999999951957,0.0,0,False
162,0.022076999999967484,0.0,0,False
163,0.0024859999999762294,0.0,0,False
164,0.021022000000016305,0.0,0,False
165,0.022086000000058448,0.0,0,False
166,0.011721999999963373,0.0,0,False
