episode,length,time,reward,delta
0,500.0,0.023009000000001834,-3174.0,-0.0006173793999999511
1,500.0,0.02293399999985013,-4263.0,-0.0011528719120006414
2,500.0,0.02284800000006726,-3471.0,-1.9821228882888065e-05
3,170.0,0.007792999999992389,-1159.0,100.0
4,124.0,0.005687000000079934,-915.0,10.0
5,38.0,0.0017799999998260319,-235.0,1.0
6,25.0,0.0011930000000575092,75.0,0.09999999999999432
7,53.0,0.002463000000034299,-250.0,0.010000000000005116
8,61.0,0.0028380000001106964,-258.0,0.0010000000000047748
9,36.0,0.0016920000000482105,-35.0,0.00010000000000331966
10,98.0,0.004511999999976979,-493.0,1.0000000003174137e-05
11,83.0,0.0038119999999253196,-478.0,9.999999974752427e-07
12,85.0,0.00392199999987497,-579.0,9.999999406318238e-08
13,196.0,0.008943000000044776,-1185.0,9.999993721976352e-09
14,31.0,0.0014559999999619322,-30.0,1.0000036354540498e-09
15,18.0,0.0008760000000620494,82.0,1.000017846308765e-10
16,27.0,0.0012820000001738663,73.0,1.000444171950221e-11
17,42.0,0.0019749999999021384,-41.0,9.947598300641403e-13
18,22.0,0.0010609999999360298,78.0,9.947598300641403e-14
19,117.0,0.005364000000099622,-710.0,1.4210854715202004e-14
20,17.0,0.0008250000000771252,-16.0,0.0
21,32.0,0.001510000000052969,68.0,0.0
22,24.0,0.0011389999999664724,76.0,0.0
23,22.0,0.0010529999999562278,78.0,0.0
24,34.0,0.0015889999999672,-33.0,0.0
25,22.0,0.0010549999999511783,78.0,0.0
26,60.0,0.0027800000000297587,-158.0,0.0
27,44.0,0.002052999999932581,-142.0,0.0
28,96.0,0.004386000000067725,-293.0,0.0
29,19.0,0.0009159999999610591,-18.0,0.0
30,19.0,0.0009150000000772707,81.0,0.0
31,22.0,0.0010480000000825385,78.0,0.0
32,56.0,0.00257699999997385,-253.0,0.0
33,77.0,0.0035330000000612927,-670.0,0.0
34,54.0,0.0024949999999535066,-251.0,0.0
35,116.0,0.00528800000006413,-709.0,0.0
36,77.0,0.0035330000000612927,-175.0,0.0
37,60.0,0.0027700000000550062,-356.0,0.0
38,19.0,0.0009110000000873697,81.0,0.0
39,51.0,0.00237499999980173,-50.0,0.0
40,17.0,0.0008239999999659631,83.0,0.0
41,63.0,0.002896999999848049,-260.0,0.0
42,27.0,0.0012650000001031003,73.0,0.0
43,83.0,0.003994000000147935,-379.0,0.0
44,46.0,0.002132999999957974,-144.0,0.0
45,48.0,0.00222499999995307,-146.0,0.0
46,27.0,0.0012799999999515421,73.0,0.0
47,18.0,0.0008649999999761349,82.0,0.0
48,86.0,0.003932000000077096,-382.0,0.0
49,31.0,0.0014489999998659187,-129.0,0.0
50,14.0,0.0006969999999455467,86.0,0.0
51,15.0,0.000726999999869804,85.0,0.0
52,17.0,0.0008219999999710126,83.0,0.0
53,60.0,0.0027549999999791908,-158.0,0.0
54,23.0,0.0010939999999663996,77.0,0.0
55,38.0,0.0017810000001645676,-37.0,0.0
56,14.0,0.0007040000000415603,86.0,0.0
57,103.0,0.004711000000042986,-399.0,0.0
58,65.0,0.003000000000156433,-163.0,0.0
59,59.0,0.0027329999998073617,-355.0,0.0
60,20.0,0.0009690000001683075,80.0,0.0
61,14.0,0.000687000000198168,86.0,0.0
62,18.0,0.0008680000000822474,82.0,0.0
63,25.0,0.0011870000000726577,75.0,0.0
64,25.0,0.0011860000001888693,75.0,0.0
65,20.0,0.0009560000000874425,-118.0,0.0
66,20.0,0.0009650000001784065,80.0,0.0
67,59.0,0.002704999999878055,-157.0,0.0
68,86.0,0.00392199999987497,-184.0,0.0
69,21.0,0.001011999999946056,79.0,0.0
70,22.0,0.001044999999976426,78.0,0.0
71,19.0,0.0009079999999812571,81.0,0.0
72,53.0,0.0024429999998574203,-151.0,0.0
73,24.0,0.0011359999998603598,76.0,0.0
74,18.0,0.000863000000208558,82.0,0.0
75,16.0,0.0007770000001983135,84.0,0.0
76,15.0,0.0007270000000971777,85.0,0.0
77,16.0,0.0007700000001023,84.0,0.0
78,63.0,0.0028810000001158187,-161.0,0.0
79,35.0,0.0016339999999672727,-34.0,0.0
80,33.0,0.0015570000000479922,-32.0,0.0
81,15.0,0.0007289999998647545,85.0,0.0
82,20.0,0.0009509999999863794,80.0,0.0
83,32.0,0.0014920000000984146,-31.0,0.0
84,18.0,0.0008640000000923465,82.0,0.0
85,82.0,0.0037449999999807915,-279.0,0.0
86,39.0,0.0018099999999776628,-38.0,0.0
87,38.0,0.0018019999999978609,-37.0,0.0
88,19.0,0.0009179999999560096,81.0,0.0
89,17.0,0.0008230000000821747,83.0,0.0
90,24.0,0.0011409999999614229,-23.0,0.0
91,19.0,0.0009179999999560096,81.0,0.0
92,14.0,0.0006889999999657448,86.0,0.0
93,17.0,0.0008259999999609136,83.0,0.0
94,22.0,0.0010520000000724394,78.0,0.0
95,27.0,0.0012729999998555286,-26.0,0.0
96,63.0,0.002889999999979409,-260.0,0.0
97,20.0,0.000955000000203654,80.0,0.0
98,18.0,0.0008680000000822474,82.0,0.0
99,52.0,0.002397000000200933,-51.0,0.0
100,16.0,0.0007729999999810389,84.0,0.0
101,19.0,0.0009270000000469736,81.0,0.0
102,17.0,0.0008199999999760621,83.0,0.0
103,35.0,0.0016330000000834843,-34.0,0.0
104,15.0,0.0007319999999708671,85.0,0.0
105,18.0,0.0008719999998447747,82.0,0.0
106,22.0,0.0010439999998652638,78.0,0.0
107,22.0,0.0010509999999612774,78.0,0.0
108,19.0,0.000910999999859996,81.0,0.0
109,14.0,0.0006840000000920554,86.0,0.0
110,20.0,0.0009489999999914289,80.0,0.0
111,71.0,0.0032439999999951397,-169.0,0.0
112,17.0,0.0008209999998598505,83.0,0.0
113,33.0,0.0015419999999721767,-32.0,0.0
114,20.0,0.0009509999999863794,80.0,0.0
115,27.0,0.0012770000000728032,-26.0,0.0
116,34.0,0.0015899999998509884,-33.0,0.0
117,19.0,0.0009050000001025182,81.0,0.0
118,19.0,0.000906999999870095,81.0,0.0
119,18.0,0.000862000000097396,82.0,0.0
120,15.0,0.0007290000000921282,85.0,0.0
121,37.0,0.0017300000001796434,-36.0,0.0
122,56.0,0.0025820000000749133,-55.0,0.0
123,67.0,0.003068999999868538,-264.0,0.0
124,14.0,0.0006869999999707943,86.0,0.0
125,14.0,0.0006849999999758438,86.0,0.0
126,17.0,0.0008210000000872242,83.0,0.0
127,16.0,0.0007789999999658903,84.0,0.0
128,20.0,0.0009580000000823929,80.0,0.0
129,18.0,0.0008709999999609863,82.0,0.0
130,63.0,0.002907000000050175,-260.0,0.0
131,17.0,0.0008250000000771252,83.0,0.0
132,38.0,0.0017669999999725405,-37.0,0.0
133,22.0,0.0010419999998703133,78.0,0.0
134,15.0,0.0007279999999809661,-14.0,0.0
135,19.0,0.0009110000000873697,81.0,0.0
136,45.0,0.0020829999998568383,-44.0,0.0
137,34.0,0.0015949999999520514,-33.0,0.0
138,16.0,0.0007789999999658903,84.0,0.0
139,18.0,0.0008680000000822474,82.0,0.0
140,43.0,0.0019760000000133005,-42.0,0.0
141,47.0,0.0021729999998569838,-244.0,0.0
142,22.0,0.0010479999998551648,78.0,0.0
