steps,time,reward,delta,converged
104,0.007448000000067623,0.0,0,False
105,0.0023310000000265063,0.0,0,False
106,0.015659999999911633,0.0,0,False
107,0.0014979999999695792,0.0,0,False
108,0.009651999999960026,0.0,0,False
109,0.012784000000010565,0.0,0,False
110,0.013950000000022555,0.0,0,False
111,0.0014039999999795327,0.0,0,False
112,0.0022020000000111395,0.0,0,False
113,0.009764000000018314,0.0,0,False
114,0.02226800000005369,0.0,0,False
115,0.00856500000008964,0.0,0,False
116,0.0026030000000218934,0.0,0,False
117,0.005462999999963358,0.0,0,False
118,0.013021999999978107,0.0,0,False
119,0.0052550000000337604,0.0,0,False
120,0.012426000000004933,0.0,0,False
121,0.004538000000025022,0.0,0,False
122,0.004539000000022497,0.0,0,False
123,0.007237000000031912,0.0,0,False
124,0.004192999999986569,0.0,0,False
125,0.014207000000055814,0.0,0,False
126,0.0033150000000432556,0.0,0,False
127,0.022391000000084205,0.0,0,False
128,0.004516000000080567,0.0,0,False
129,0.002405000000067048,0.0,0,False
130,0.007049999999935608,0.0,0,False
131,0.0020959999999377033,0.0,0,False
132,0.005727999999976419,0.0,0,False
133,0.003684000000021115,0.0,0,False
134,0.02220199999999295,0.0,0,False
135,0.004152999999973872,0.0,0,False
136,0.0038090000000465807,0.0,0,False
137,0.006359999999972388,0.0,0,False
138,0.007049999999935608,0.0,0,False
139,0.0037899999999808642,0.0,0,False
140,0.01689899999996669,0.0,0,False
141,0.010213999999905354,0.0,0,False
142,0.0035610000001042863,0.0,0,False
143,0.004791999999952168,0.0,0,False
144,0.014773999999988519,0.0,0,False
145,0.009206999999946675,0.0,0,False
146,0.0056059999999433785,0.0,0,False
147,0.003203999999982443,0.0,0,False
148,0.006430000000023028,0.0,0,False
149,0.0043929999999363645,0.0,0,False
150,0.014041000000020176,0.0,0,False
151,0.007745999999997366,0.0,0,False
152,0.002521999999999025,0.0,0,False
153,0.006465000000048349,0.0,0,False
154,0.007904000000053202,0.0,0,False
155,0.0065940000000637156,0.0,0,False
156,0.01109499999995478,0.0,0,False
157,0.006711999999993168,0.0,0,False
158,0.011362999999960266,0.0,0,False
159,0.005882999999926142,0.0,0,False
160,0.003294999999980064,0.0,0,False
161,0.01757199999997283,0.0,0,False
162,0.017268000000058237,0.0,0,False
163,0.006717999999978019,0.0,0,False
164,0.006801999999993313,0.0,0,False
165,0.011576999999988402,0.0,0,False
166,0.008859000000029482,0.0,0,False
167,0.012588999999934458,0.0,0,False
168,0.014133000000015272,0.0,0,False
169,0.014408000000003085,0.0,0,False
170,0.008961999999996806,0.0,0,False
171,0.008681000000024142,0.0,0,False
172,0.014780000000087057,0.0,0,False
173,0.005019999999944957,0.0,0,False
174,0.0076759999999467254,0.0,0,False
175,0.012400999999954365,0.0,0,False
176,0.019203999999945154,0.0,0,False
177,0.00333299999999781,0.0,0,False
178,0.004173000000037064,0.0,0,False
179,0.009762000000023363,0.0,0,False
180,0.010613000000034845,0.0,0,False
181,0.004412000000002081,0.0,0,False
182,0.016854999999964093,0.0,0,False
183,0.0111819999999625,0.0,0,False
184,0.0064509999999700085,0.0,0,False
185,0.02223099999991973,0.0,0,False
186,0.002728000000047359,0.0,0,False
187,0.013056000000005952,0.0,0,False
188,0.022336999999993168,0.0,0,False
189,0.004711999999926775,0.0,0,False
190,0.022252999999977874,0.0,0,False
191,0.002822999999921194,0.0,0,False
192,0.006091999999966902,0.0,0,False
193,0.011799999999993815,0.0,0,False
194,0.0027569999999741412,0.0,0,False
195,0.012309000000072956,0.0,0,False
196,0.0032400000000052387,0.0,0,False
197,0.003877000000102271,0.0,0,False
198,0.011601000000041495,0.0,0,False
199,0.0020050000000537693,0.0,0,False
200,0.0013420000000223808,0.0,0,True
