params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.1, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.19212200000004,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.167216000000053,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.200226000000043,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.10592900000006,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.159730000000081,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.09796300000005,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.117399999999975,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.230775999999992,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.305107000000021,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.198970000000031,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.215663999999947,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.201459999999997,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.221507000000088,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.194118000000003,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.235233999999991,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.205150000000003,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.078856999999971,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.159095000000093,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.3605700000000525,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",3.8777750000000424,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.30350199999998,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.088322999999946,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.147809999999936,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.126235999999949,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.169797000000017,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.211774999999989,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.078473000000031,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.169308000000001,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",3.904835999999932,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.796681999999919,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.644125000000031,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.443427000000042,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.388675000000035,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.3537859999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.370933000000036,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.461505999999986,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.346406000000002,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.380221000000006,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.313821999999959,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.771233000000052,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.6506100000000288,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.496948999999972,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.46837400000004,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.395165999999904,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.391967000000022,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.422213000000056,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.393571000000065,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.343282000000045,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.380564000000049,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.780057000000056,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.6651930000000448,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.54382099999998,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.512533000000076,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.516528999999991,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.444558999999913,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.486263000000008,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.486279000000081,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.491724999999974,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.445369000000028,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.199746000000005,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.2355139999999665,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.102926000000025,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.198962999999935,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.319447999999966,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.230131999999912,100,0.0,0.0,0.0,0.0,0.0
