iterations,fitness,time,fevals
0,67.0,0.001255098,1427
10,67.0,0.002353394,2350
20,71.0,0.003480515,3282
30,71.0,0.004557666,4213
40,71.0,0.005618649,5148
50,75.0,0.006736693,6082
60,73.0,0.007780243,7009
70,75.0,0.008811153,7931
80,77.0,0.00984609,8871
90,76.0,0.010943922,9806
100,77.0,0.011978665,10748
110,78.0,0.012989369,11674
120,79.0,0.014080429,12605
130,81.0,0.015099018,13528
140,79.0,0.016125438,14446
150,81.0,0.017163192,15372
160,81.0,0.01819422,16304
170,83.0,0.019214383,17229
180,81.0,0.020241118,18165
190,81.0,0.021315858,19102
200,81.0,0.022353257,20027
210,81.0,0.023369688,20943
220,81.0,0.024463232,21868
230,81.0,0.025485556,22794
240,83.0,0.026512143,23736
250,81.0,0.027536084,24650
260,83.0,0.028567163,25557
270,83.0,0.029598326,26485
280,83.0,0.03061058,27414
290,83.0,0.031698894,28334
300,83.0,0.032708285,29270
310,83.0,0.03371535,30202
320,85.0,0.034782803,31122
330,85.0,0.035786117,32046
340,85.0,0.036801493,32976
350,85.0,0.03781356,33890
360,85.0,0.038884627,34822
370,84.0,0.039896325,35744
380,85.0,0.040916544,36682
390,87.0,0.041984466,37616
400,87.0,0.042994263,38546
410,87.0,0.044006705,39478
420,87.0,0.045018345,40409
430,87.0,0.046025684,41338
440,89.0,0.047029288,42268
450,87.0,0.048025177,43196
460,87.0,0.049085024,44101
470,87.0,0.050077854,45025
480,87.0,0.051069346,45963
490,87.0,0.05212544,46892
500,87.0,0.053124771,47815
510,87.0,0.054117107,48729
520,87.0,0.055124541,49661
530,87.0,0.056189243,50591
540,87.0,0.057197886,51497
550,87.0,0.058198373,52422
560,87.0,0.059244905,53351
570,87.0,0.060247617,54281
580,87.0,0.061246945,55211
590,87.0,0.062248508,56132
600,87.0,0.063302927,57057
610,87.0,0.064308407,57986
620,87.0,0.065316432,58917
630,87.0,0.066359931,59836
640,87.0,0.067358179,60758
650,87.0,0.068356506,61681
660,87.0,0.069353278,62586
670,89.0,0.070402019,63501
680,89.0,0.071400358,64432
690,89.0,0.072396462,65358
700,89.0,0.073441137,66292
710,89.0,0.074428803,67206
720,89.0,0.075410878,68137
730,87.0,0.076400508,69062
740,89.0,0.077397029,70004
750,89.0,0.078380664,70928
760,89.0,0.079362381,71849
770,87.0,0.080404227,72773
780,89.0,0.081392088,73699
790,89.0,0.082376263,74632
800,89.0,0.083362084,75552
810,89.0,0.084359283,76478
820,89.0,0.085347955,77410
830,87.0,0.08634326,78337
840,87.0,0.087396704,79274
850,87.0,0.088384113,80196
860,87.0,0.08937505,81123
870,89.0,0.090413431,82052
880,89.0,0.09141514,82973
890,89.0,0.092397288,83902
900,89.0,0.093389401,84838
910,89.0,0.094437698,85780
920,89.0,0.095422399,86707
930,89.0,0.096418529,87635
940,89.0,0.097476468,88560
950,89.0,0.098462823,89499
960,89.0,0.099452077,90438
970,89.0,0.100450895,91365
980,89.0,0.101504367,92275
990,89.0,0.102497638,93206
1000,89.0,0.103484147,94131
1010,89.0,0.104529315,95068
1020,89.0,0.105520722,95991
1030,89.0,0.106509008,96918
1040,89.0,0.107506194,97854
1050,89.0,0.108567248,98791
1060,89.0,0.109572172,99721
1070,89.0,0.110567588,100667
1080,89.0,0.111630139,101596
1090,89.0,0.112624138,102520
1100,89.0,0.113613464,103446
1110,89.0,0.114610592,104376
1120,89.0,0.115663328,105306
1130,89.0,0.116676612,106236
1140,89.0,0.117677218,107158
1150,89.0,0.118743639,108096
1160,89.0,0.119738061,109027
1170,89.0,0.120728191,109955
1180,89.0,0.121729511,110887
1190,89.0,0.12273398,111798
1200,89.0,0.123738226,112731
1210,89.0,0.124733118,113658
1220,89.0,0.125789294,114579
1230,89.0,0.126788891,115503
1240,89.0,0.127788926,116440
1250,89.0,0.128847786,117384
1260,89.0,0.129845609,118290
1270,89.0,0.130846911,119211
1280,89.0,0.131866935,120151
1290,89.0,0.132938089,121085
1300,89.0,0.133936287,122020
1310,89.0,0.13493725,122934
1320,89.0,0.135989998,123854
1330,89.0,0.136981364,124791
1340,89.0,0.13797253,125714
1350,89.0,0.138969724,126635
1360,89.0,0.14002908,127564
1370,89.0,0.141028443,128505
1380,89.0,0.142029432,129429
1390,89.0,0.143095912,130363
1400,89.0,0.144108789,131273
1410,89.0,0.145107547,132206
1420,89.0,0.146109061,133143
1430,89.0,0.14710901,134065
1440,89.0,0.148108253,135002
1450,89.0,0.14910137,135928
1460,89.0,0.150164025,136858
1470,89.0,0.151165419,137789
1480,89.0,0.152160443,138720
1490,89.0,0.153232459,139646
1500,89.0,0.154245888,140579
1510,89.0,0.155248732,141508
1520,89.0,0.156253258,142431
1530,89.0,0.157320114,143358
1540,89.0,0.158323262,144284
1550,89.0,0.159322215,145202
1560,89.0,0.160398738,146131
1570,89.0,0.161411615,147059
1580,89.0,0.162409431,147994
1590,89.0,0.163409691,148926
1600,89.0,0.164468771,149854
1610,89.0,0.165471452,150792
1620,89.0,0.166477063,151712
1630,89.0,0.167535992,152635
1640,91.0,0.168534068,153574
1650,89.0,0.169528407,154486
1660,91.0,0.170528923,155423
1670,91.0,0.171525522,156353
1680,91.0,0.172521588,157280
1690,91.0,0.173516612,158207
1700,91.0,0.174573711,159130
1710,91.0,0.175580086,160067
1720,91.0,0.176581346,160993
1730,91.0,0.177581766,161925
1740,91.0,0.178574777,162854
1750,91.0,0.179573788,163780
1760,91.0,0.180580159,164719
1770,91.0,0.181636737,165638
1780,91.0,0.182632761,166561
1790,91.0,0.183622404,167473
1800,91.0,0.184685648,168406
1810,91.0,0.185687614,169342
1820,91.0,0.186684239,170267
1830,91.0,0.187678297,171190
1840,91.0,0.188746307,172131
1850,91.0,0.189737818,173060
1860,91.0,0.190738505,173992
1870,91.0,0.191815197,174924
1880,91.0,0.192811989,175861
1890,91.0,0.193808528,176798
1900,91.0,0.19479624,177722
1910,91.0,0.195855181,178661
1920,91.0,0.196855028,179599
1930,91.0,0.197845762,180522
1940,91.0,0.198909818,181450
1950,91.0,0.199895024,182368
1960,91.0,0.200901359,183296
1970,91.0,0.20190353,184229
1980,91.0,0.202952809,185144
1990,91.0,0.203946394,186072
2000,91.0,0.204938789,186998
2010,91.0,0.206009619,187925
2020,91.0,0.207011846,188863
2030,91.0,0.20800571,189793
2040,91.0,0.209000127,190734
2050,91.0,0.209995707,191670
2060,91.0,0.210992695,192595
2070,91.0,0.211986128,193530
2080,91.0,0.213025788,194451
2090,91.0,0.21401584,195375
2100,91.0,0.215013737,196313
2110,91.0,0.21606197,197245
2120,91.0,0.217059517,198185
2130,91.0,0.218062452,199103
2140,91.0,0.219058866,200033
2150,91.0,0.220099969,200958
2160,91.0,0.221115504,201898
2170,91.0,0.222122245,202823
2180,91.0,0.22316256,203746
2190,91.0,0.224156626,204674
2200,91.0,0.225154975,205597
2210,91.0,0.226152672,206530
2220,91.0,0.227198603,207469
2230,91.0,0.228197836,208394
2240,91.0,0.22918647,209329
2250,91.0,0.230250309,210267
2260,91.0,0.231253205,211200
2270,91.0,0.232252895,212134
2280,91.0,0.23325107,213053
2290,91.0,0.234298115,213966
2300,91.0,0.235296371,214898
2310,91.0,0.236288641,215819
2320,91.0,0.237341317,216750
2330,91.0,0.238343663,217684
2340,91.0,0.239343192,218595
2350,91.0,0.240332533,219531
2360,92.0,0.241328814,220456
2370,92.0,0.242328107,221395
2380,92.0,0.243330213,222320
2390,91.0,0.24437988,223254
2400,92.0,0.245375354,224178
2410,91.0,0.246374309,225104
2420,91.0,0.247437995,226027
2430,91.0,0.248428665,226956
2440,91.0,0.249432699,227888
2450,91.0,0.250426369,228824
2460,92.0,0.251481035,229757
2470,92.0,0.252475832,230693
2480,92.0,0.253478913,231635
2490,92.0,0.254524595,232552
2500,92.0,0.255521313,233483
2510,92.0,0.25651188,234422
2520,91.0,0.257512026,235347
2530,91.0,0.258570878,236267
2540,91.0,0.259565486,237181
2550,91.0,0.260556463,238097
2560,91.0,0.261615676,239035
2570,91.0,0.262621323,239958
2580,91.0,0.263619413,240880
2590,91.0,0.264614534,241792
2600,91.0,0.265668388,242725
2610,91.0,0.266667803,243657
2620,91.0,0.267671025,244579
2630,91.0,0.268718421,245508
2640,91.0,0.269718218,246433
2650,91.0,0.270717097,247376
2660,91.0,0.271710959,248305
2670,91.0,0.272716794,249222
2680,91.0,0.273713722,250154
2690,91.0,0.274704905,251083
2700,91.0,0.275763013,252004
2710,91.0,0.276758323,252921
2720,91.0,0.277753377,253854
2730,91.0,0.278802073,254769
2740,91.0,0.279804992,255699
2750,91.0,0.28080528,256630
2760,91.0,0.281795109,257560
2770,91.0,0.282838935,258499
2780,91.0,0.283833903,259425
2790,91.0,0.284832538,260362
2800,91.0,0.285899515,261290
2810,91.0,0.286896868,262214
2820,91.0,0.287903068,263150
2830,91.0,0.288896301,264090
2840,91.0,0.289925044,265020
2850,91.0,0.290943859,265957
2860,91.0,0.29193497,266881
2870,91.0,0.297412148,267793
2880,91.0,0.298405784,268716
2890,91.0,0.299390974,269631
2900,91.0,0.300441151,270545
2910,91.0,0.301432719,271465
2920,91.0,0.302430221,272390
2930,91.0,0.303422308,273327
2940,91.0,0.304475951,274254
2950,91.0,0.305468856,275176
2960,91.0,0.306455713,276112
2970,91.0,0.307501915,277040
2980,91.0,0.30848615,277964
2990,91.0,0.309468401,278879
3000,91.0,0.310461999,279801
3010,91.0,0.311470878,280744
3020,91.0,0.312462429,281677
3030,91.0,0.31344616,282607
3040,91.0,0.314498393,283520
3050,91.0,0.31548545,284450
3060,91.0,0.316472959,285376
3070,91.0,0.317464779,286306
3080,91.0,0.318481227,287235
3090,91.0,0.319471286,288168
3100,91.0,0.320456467,289096
3110,91.0,0.321488876,290025
3120,91.0,0.322478742,290942
3130,91.0,0.32346951,291869
3140,91.0,0.324503962,292781
3150,91.0,0.325505437,293702
3160,91.0,0.326497001,294624
3170,91.0,0.32749329,295549
3180,91.0,0.328527652,296469
3190,91.0,0.329524021,297399
3200,91.0,0.3305154,298324
3210,91.0,0.331556132,299257
3220,91.0,0.332546458,300185
3230,91.0,0.333534144,301123
3240,91.0,0.334522546,302048
3250,91.0,0.33557898,302973
3260,91.0,0.336568259,303893
3270,91.0,0.337559142,304820
3280,91.0,0.338608832,305750
3290,91.0,0.339597411,306681
3300,91.0,0.340600373,307612
3310,91.0,0.34159566,308537
3320,91.0,0.342629608,309463
3330,91.0,0.343617481,310400
3340,91.0,0.344608678,311331
3350,91.0,0.345659673,312254
3360,91.0,0.346667089,313178
3370,91.0,0.347659626,314106
3380,91.0,0.348656234,315030
3390,91.0,0.349703654,315946
3400,91.0,0.350692046,316872
3410,91.0,0.351676179,317809
3420,91.0,0.352726269,318731
3430,91.0,0.353720672,319666
3440,91.0,0.354709384,320599
3450,91.0,0.355695839,321528
3460,91.0,0.356743452,322447
3470,91.0,0.357739059,323380
3480,91.0,0.358738997,324310
3490,91.0,0.359786616,325239
3500,91.0,0.360784618,326172
3510,91.0,0.361778316,327098
3520,91.0,0.362768112,328030
3530,91.0,0.363821557,328953
3540,91.0,0.364830605,329881
3550,91.0,0.365835723,330809
3560,91.0,0.366863569,331744
3570,91.0,0.367855788,332680
3580,91.0,0.368834903,333605
3590,91.0,0.369827744,334543
3600,91.0,0.370871876,335483
3610,91.0,0.371873317,336406
3620,91.0,0.372858501,337329
3630,91.0,0.373909561,338250
3640,91.0,0.374891564,339182
3650,91.0,0.375879942,340100
3660,91.0,0.376865133,341036
3670,91.0,0.37785982,341964
