iterations,fitness,time,fevals
0,69.0,0.000516534999999,839
10,71.0,0.000978392,1458
20,75.0,0.001422248,2092
30,74.0,0.001901612,2720
40,75.0,0.002324046,3339
50,78.0,0.002747216,3979
60,78.0,0.003166318,4609
70,78.0,0.003589413,5255
80,78.0,0.004012975,5883
90,80.0,0.004435639,6519
100,78.0,0.004913959,7142
110,79.0,0.005340341,7788
120,78.0,0.00576152,8423
130,78.0,0.006181149,9065
140,78.0,0.006598836,9704
150,80.0,0.007009928,10348
160,78.0,0.007425755,10998
170,76.0,0.007840216,11633
180,76.0,0.008311385,12254
190,76.0,0.008731706,12892
200,77.0,0.009149509,13523
210,79.0,0.009575403,14159
220,78.0,0.010002434,14799
230,76.0,0.01042899,15443
240,76.0,0.010851171,16070
250,75.0,0.011347522,16709
260,76.0,0.011771254,17354
270,76.0,0.012191193,17986
280,74.0,0.012617892,18633
290,76.0,0.013039975,19252
300,76.0,0.013469393,19884
310,76.0,0.013891822,20517
320,76.0,0.014376802,21148
330,78.0,0.014798741,21778
340,80.0,0.015220451,22406
350,78.0,0.015645935,23057
360,78.0,0.016081912,23707
370,80.0,0.016509014,24340
380,78.0,0.016941284,24976
390,80.0,0.01737208,25617
400,82.0,0.017801236,26261
410,80.0,0.018235583,26909
420,82.0,0.018665869,27555
430,80.0,0.019088952,28193
440,80.0,0.019507269,28839
450,82.0,0.019928682,29489
460,81.0,0.020338329,30134
470,80.0,0.020951563,30776
480,81.0,0.021378081,31415
490,83.0,0.0217939,32057
500,83.0,0.022208338,32683
510,82.0,0.022620113,33325
520,81.0,0.023028672,33960
530,82.0,0.023441435,34594
540,82.0,0.023903332,35246
550,83.0,0.024317954,35873
560,82.0,0.024736806,36504
570,82.0,0.034763026,37146
580,86.0,0.035242773,37792
590,82.0,0.03566031,38430
600,82.0,0.036080242,39069
610,84.0,0.036498575,39701
620,84.0,0.036909479,40352
630,84.0,0.037322118,40994
640,84.0,0.037737107,41641
650,84.0,0.038148787,42286
660,84.0,0.038569108,42938
670,84.0,0.038984202,43575
680,84.0,0.0394026,44225
690,82.0,0.039819307,44871
700,82.0,0.040233591,45504
710,82.0,0.040650849,46145
720,84.0,0.041066905,46784
730,86.0,0.041529833,47417
740,82.0,0.041951384,48058
750,82.0,0.042372912,48697
760,82.0,0.042794383,49341
770,84.0,0.043219245,49981
780,86.0,0.043636758,50624
790,86.0,0.044053237,51274
800,84.0,0.044532421,51909
810,84.0,0.044951473,52567
820,87.0,0.0453698,53218
830,88.0,0.045778876,53858
840,87.0,0.046192383,54507
850,86.0,0.04660696,55146
860,85.0,0.047026256,55787
870,88.0,0.047447431,56430
880,84.0,0.047920617,57064
890,86.0,0.048336421,57711
900,86.0,0.048752291,58352
910,84.0,0.049166378,59001
920,86.0,0.04959177,59642
930,86.0,0.05000968,60267
940,84.0,0.050429609,60891
950,84.0,0.050903446,61516
960,84.0,0.051314049,62160
970,86.0,0.051727754,62799
980,84.0,0.052143626,63435
990,86.0,0.052559529,64071
1000,84.0,0.052970968,64716
1010,84.0,0.0533872,65359
1020,82.0,0.053801077,65983
1030,84.0,0.054220434,66623
1040,84.0,0.054631982,67242
1050,86.0,0.055041961,67868
1060,86.0,0.055458976,68493
1070,86.0,0.055871093,69117
1080,82.0,0.056288577,69757
1090,86.0,0.056710874,70407
1100,88.0,0.057193003,71060
1110,82.0,0.057607204,71690
1120,88.0,0.058030453,72329
1130,86.0,0.0584444,72971
1140,86.0,0.05885661,73609
1150,86.0,0.059277674,74244
1160,88.0,0.05969439,74881
1170,86.0,0.060168379,75527
1180,86.0,0.060587882,76162
1190,86.0,0.061009473,76807
1200,86.0,0.061430163,77453
1210,86.0,0.061851505,78091
1220,86.0,0.062275221,78727
1230,86.0,0.062685828,79374
1240,84.0,0.063103678,80013
1250,86.0,0.063574505,80655
1260,86.0,0.063991916,81285
1270,84.0,0.064420553,81934
1280,86.0,0.064838528,82578
1290,86.0,0.06525663,83227
1300,86.0,0.065675616,83869
1310,86.0,0.066094345,84519
1320,88.0,0.066555523,85170
1330,88.0,0.066970948,85804
1340,85.0,0.067384884,86451
1350,85.0,0.067805503,87092
1360,84.0,0.068216907,87731
1370,84.0,0.068629744,88373
1380,86.0,0.06904244,89014
1390,86.0,0.069490076,89664
1400,86.0,0.0699038,90298
1410,88.0,0.07032055,90934
1420,86.0,0.070729161,91580
