k,Red Wine Quality sse (left)
2,7430.353830618827
3,6383.7193819978775
4,5533.686981645645
5,4880.795781311289
6,4513.454957385662
7,4190.987218672106
8,3918.4745659853293
9,3699.0279478322473
10,3529.107746383729
15,2975.467477628166
20,2539.3791874233566
25,2258.217763796538
30,2091.0465165811684
