,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.014356899261474609,0.0007298469543457031,0.33333333333333337,0.3333333333333333,0.1,"(10,)",2,"{'gmm__n_components': 2, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,)}",609,0.3333333333333333,0.3333333333333334,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0057011146162775994,0.00011917813847749941,4.932295220242625e-17,4.965068306494546e-17
1,0.018326759338378906,0.0007981300354003906,0.33333333333333337,0.3333333333333333,0.1,"(10,)",3,"{'gmm__n_components': 3, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,)}",609,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333326,0.0026704080631346446,3.2801613902640535e-05,4.932295220242625e-17,3.510833468576701e-17
2,0.025805854797363283,0.0007479667663574218,0.5298245614035088,0.5252307692307692,0.1,"(10,)",4,"{'gmm__n_components': 4, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,)}",176,0.2857142857142857,0.2800000000000001,0.6666666666666666,0.6666666666666666,0.6111111111111112,0.5769230769230768,0.6666666666666666,0.6666666666666665,0.4444444444444444,0.4358974358974357,0.010207485172958256,9.185737846543808e-05,0.1526301385580063,0.14886161054046862
3,0.020736312866210936,0.0006391525268554688,0.3333333333333333,0.3333333333333333,0.1,"(10,)",5,"{'gmm__n_components': 5, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,)}",789,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.006090410034487259,0.00015899622909356628,0.0,4.965068306494546e-17
4,0.02681903839111328,0.0008562088012695312,0.3649122807017544,0.376,0.1,"(10,)",6,"{'gmm__n_components': 6, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,)}",517,0.3333333333333333,0.3333333333333334,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5466666666666665,0.006338838641727618,5.094352884821634e-06,0.06531407182100452,0.08533333333333327
5,0.029907369613647462,0.0008703231811523438,0.33333333333333337,0.3333333333333333,0.1,"(10,)",7,"{'gmm__n_components': 7, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,)}",609,0.3333333333333333,0.3333333333333334,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.009329039574846683,5.0296714733483335e-06,4.932295220242625e-17,4.965068306494546e-17
6,0.03291997909545898,0.0008809089660644532,0.2706766917293233,0.3220085470085471,0.1,"(10,)",8,"{'gmm__n_components': 8, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,)}",1021,0.3333333333333333,0.4305555555555557,0.2857142857142857,0.3333333333333333,0.2222222222222222,0.28205128205128205,0.2222222222222222,0.2564102564102564,0.2777777777777778,0.30769230769230765,0.006538927673212315,8.897070943226586e-06,0.04259914428335427,0.06002562337910226
7,0.028145027160644532,0.0008994579315185547,0.29122807017543856,0.32133333333333336,0.1,"(10,)",9,"{'gmm__n_components': 9, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,)}",1017,0.2857142857142857,0.2266666666666667,0.3333333333333333,0.41333333333333333,0.3333333333333333,0.34717948717948716,0.3333333333333333,0.4271794871794871,0.16666666666666666,0.1923076923076923,0.004680884145869384,2.9805793560057723e-05,0.06317877683188679,0.09585909009845447
8,0.032049369812011716,0.0008403778076171875,0.35438596491228075,0.39058119658119655,0.1,"(10,)",10,"{'gmm__n_components': 10, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,)}",541,0.3333333333333333,0.30111111111111116,0.33333333333333337,0.4,0.2222222222222222,0.41846153846153844,0.5555555555555556,0.44871794871794857,0.3333333333333333,0.3846153846153845,0.008722141451186162,0.00013316529476407285,0.10607871198477878,0.0495709519308491
9,0.029155826568603514,0.000986766815185547,0.37192982456140355,0.3929145299145299,0.1,"(10,)",15,"{'gmm__n_components': 15, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,)}",509,0.23809523809523808,0.39277777777777784,0.16666666666666669,0.25333333333333335,0.5555555555555556,0.5338461538461536,0.6666666666666666,0.5507692307692307,0.2777777777777778,0.23384615384615381,0.004378851468879672,1.2764103313672038e-05,0.19328069913824225,0.13383983458682813
10,0.025931358337402344,0.0011037826538085938,0.3333333333333333,0.3333333333333333,0.1,"(10,)",20,"{'gmm__n_components': 20, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,)}",789,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.004550976947382793,5.078676148282604e-05,0.0,4.965068306494546e-17
