k,Red Wine Quality BIC
2,17385.225150811137
3,17244.01873700123
4,17167.72076636064
5,17106.822994057853
6,17221.767150677817
7,17252.65368248692
8,17378.460254215
9,17367.153551196203
10,17575.154799713753
15,18116.461344765645
20,18493.09376101159
25,19006.390038687656
30,19610.649172622594
