k,Iris dataset log-likelihood
2,4.496928611973896
3,4.801483529101167
4,4.967572861354567
5,4.965209265073684
6,5.228975291303254
7,5.711236158163742
8,6.733468960650732
9,6.849067903781369
10,7.167506054864768
15,7.487021003517537
20,9.329385072805737
25,11.306320927679241
30,13.020917033404638
