k,Iris dataset sse (left)
2,157.79366062826384
3,93.3484114972637
4,74.77381389550901
5,58.420464326795496
6,48.288783148900684
7,39.82934386742525
8,32.72775388728341
9,28.282935544487223
10,23.44125520299432
15,13.389262487975389
20,9.330967796367592
25,6.998125608709315
30,5.083226340873199
