steps,time,reward,delta,converged
1,0.02184200000000658,-6.137724550898204,0,False
2,0.021953999999993812,-5.544910179640719,0,False
3,0.02177000000000362,-3.7664670658682633,0,False
4,0.021726999999998498,-5.544910179640719,0,False
5,0.02166800000000535,-3.7664670658682633,0,False
6,0.02206100000000788,-3.568862275449102,0,False
7,0.02203499999998826,-5.74251497005988,0,False
8,0.025986000000003173,-5.347305389221557,0,False
9,0.021645000000006576,-3.964071856287425,0,False
10,0.02183100000000593,-3.37125748502994,0,False
11,0.021699000000012347,-3.7664670658682633,0,False
12,0.021720999999999435,-3.7664670658682633,0,False
13,0.021686000000002537,-3.964071856287425,0,False
14,0.02170300000000225,-2.5808383233532934,0,False
15,0.021832000000003404,-3.37125748502994,0,False
16,0.02179200000000492,-2.7784431137724552,0,False
17,0.021786000000005856,-4.161676646706587,0,False
18,0.02197599999999511,-3.37125748502994,0,False
19,0.021878000000000952,-2.9760479041916166,0,False
20,0.02191999999999439,-2.5808383233532934,0,False
21,0.021863999999993666,-2.7784431137724552,0,False
22,0.021789999999995757,-2.5808383233532934,0,False
23,0.021726000000001022,-2.5808383233532934,0,False
24,0.021761999999995396,-1.9880239520958083,0,False
25,0.02170700000000636,-2.3832335329341316,0,False
26,0.021713000000005422,-1.9880239520958083,0,False
27,0.02151400000001047,-2.3832335329341316,0,False
28,0.02152000000000953,-1.9880239520958083,0,False
29,0.021444999999999936,-1.592814371257485,0,False
30,0.021512000000001308,-1.592814371257485,0,False
31,0.02153800000000672,-1.1976047904191616,0,False
32,0.021524999999996908,-1.592814371257485,0,False
33,0.021649999999993952,-1.1976047904191616,0,False
34,0.02168100000000095,-1.3952095808383234,0,False
35,0.021647999999999,-1.1976047904191616,0,False
36,0.021501999999998134,-1.3952095808383234,0,False
37,0.021564999999995393,-1.1976047904191616,0,False
38,0.021576000000010254,-1.1976047904191616,0,False
39,0.0216220000000078,-1.1976047904191616,0,False
40,0.021566999999990344,-1.1976047904191616,0,False
41,0.021562000000002968,-1.3952095808383234,0,False
42,0.021535000000000082,-1.1976047904191616,0,False
43,0.02147199999998861,-1.0,0,False
44,0.021545000000003256,-1.1976047904191616,0,False
45,0.021521000000007007,-1.1976047904191616,0,False
46,0.021397000000007438,-1.3952095808383234,0,False
47,0.021469000000010396,-1.1976047904191616,0,False
48,0.02145299999999395,-1.1976047904191616,0,False
49,0.021500999999986448,-1.0,0,False
50,0.02144599999999741,-1.1976047904191616,0,False
51,0.02143300000000181,-1.0,0,False
52,0.02148300000000347,-1.0,0,False
53,0.021603999999996404,-1.0,0,False
54,0.021525999999994383,-1.1976047904191616,0,False
55,0.021524000000013643,-1.0,0,False
56,0.02166299999998955,-1.1976047904191616,0,False
57,0.02155899999999633,-1.1976047904191616,0,False
58,0.021490999999997484,-1.0,0,False
59,0.021619000000001165,-1.1976047904191616,0,False
60,0.021656000000007225,-1.0,0,False
61,0.02143999999999835,-1.1976047904191616,0,False
62,0.02146999999999366,-1.0,0,False
63,0.02143300000000181,-1.0,0,False
64,0.02154600000000073,-1.0,0,False
65,0.02155899999999633,-1.1976047904191616,0,False
66,0.021498999999991497,-1.0,0,False
67,0.021540999999999144,-1.0,0,False
68,0.02163300000000845,-1.0,0,False
69,0.02150699999999972,-1.0,0,False
70,0.02149400000000412,-1.1976047904191616,0,False
71,0.021448000000006573,-1.0,0,False
72,0.02149000000000001,-1.0,0,False
73,0.021485999999995897,-1.0,0,False
74,0.0214069999999964,-1.0,0,False
75,0.02144599999999741,-1.0,0,False
76,0.021539000000004194,-1.0,0,False
77,0.021600000000006503,-1.0,0,False
78,0.021468999999996186,-1.0,0,False
79,0.021588000000008378,-1.0,0,False
80,0.02150500000000477,-1.0,0,False
81,0.02147700000000441,-1.0,0,False
82,0.021422000000001162,-1.0,0,False
83,0.02145299999999395,-1.0,0,False
84,0.021534000000002607,-1.0,0,False
85,0.021589999999989118,-1.0,0,False
86,0.021479999999996835,-1.0,0,False
87,0.021469000000010396,-1.0,0,False
88,0.021496999999996547,-1.0,0,False
89,0.02160299999999893,-1.0,0,False
90,0.021523000000001957,-1.0,0,False
91,0.021593000000009965,-1.0,0,False
92,0.021484999999998422,-1.0,0,False
93,0.021428000000000225,-1.0,0,False
94,0.02147899999999936,-1.0,0,False
95,0.021526999999991858,-1.0,0,False
96,0.02143100000000686,-1.0,0,False
97,0.02146599999998955,-1.0,0,False
98,0.021393000000003326,-1.0,0,False
99,0.02139199999999164,-1.0,0,False
100,0.021512000000001308,-1.0,0,False
101,0.021434999999996762,-1.0,0,False
102,0.02159600000000239,-1.0,0,False
103,0.021411999999997988,-1.0,0,False
104,0.021424999999993588,-1.0,0,False
105,0.021408000000008087,-1.0,0,False
106,0.02146400000000881,-1.0,0,False
107,0.021468999999996186,-1.0,0,False
108,0.021405999999998926,-1.0,0,False
109,0.021450000000001523,-1.0,0,False
110,0.021518999999997845,-1.0,0,False
111,0.02146999999999366,-1.0,0,False
112,0.02154200000001083,-1.0,0,False
113,0.021419999999992,-1.0,0,False
114,0.021608000000000516,-1.0,0,False
115,0.02143300000000181,-1.0,0,False
116,0.02145299999999395,-1.0,0,False
117,0.021410000000003038,-1.0,0,False
118,0.02136999999999034,-1.0,0,False
119,0.021380000000007726,-1.0,0,False
120,0.021416999999999575,-1.0,0,False
121,0.02143600000000845,-1.0,0,False
122,0.02137900000001025,-1.0,0,False
123,0.021357999999992217,-1.0,0,False
124,0.021422999999998638,-1.0,0,False
125,0.021732000000000085,-1.0,0,False
126,0.02147899999999936,-1.0,0,False
127,0.021482000000005996,-1.0,0,False
128,0.021472000000002822,-1.0,0,False
129,0.021411999999997988,-1.0,0,False
130,0.021414999999990414,-1.0,0,False
131,0.021496999999996547,-1.0,0,False
132,0.021411000000000513,-1.0,0,False
133,0.021420000000006212,-1.0,0,False
134,0.021461000000002173,-1.0,0,False
135,0.021495000000001596,-1.0,0,False
136,0.021456000000000586,-1.0,0,False
137,0.021480000000011046,-1.0,0,False
138,0.021411000000000513,-1.0,0,False
139,0.021507999999997196,-1.0,0,False
140,0.021523000000001957,-1.0,0,False
141,0.021499000000005708,-1.0,0,False
142,0.021484999999998422,-1.0,0,False
143,0.021419000000008737,-1.0,0,False
144,0.02142900000001191,-1.0,0,False
145,0.02150300000000982,-1.0,0,False
146,0.021529999999998495,-1.0,0,False
147,0.02152500000001112,-1.0,0,False
148,0.021526999999991858,-1.0,0,False
149,0.02158099999999763,-1.0,0,False
150,0.021534000000002607,-1.0,0,False
151,0.021482000000005996,-1.0,0,False
152,0.02146600000000376,-1.0,0,False
153,0.02148099999999431,-1.0,0,False
154,0.021537999999992508,-1.0,0,False
155,0.02145299999999395,-1.0,0,False
156,0.021420000000006212,-1.0,0,False
157,0.021535000000000082,-1.0,0,False
158,0.021639999999990778,-1.0,0,False
159,0.021648000000013212,-1.0,0,False
160,0.02156800000000203,-1.0,0,False
161,0.02149399999998991,-1.0,0,False
162,0.021509000000008882,-1.0,0,False
163,0.02145699999999806,-1.0,0,False
164,0.021519000000012056,-1.0,0,False
165,0.02154000000000167,-1.0,0,False
166,0.021485999999995897,-1.0,0,False
167,0.021471000000005347,-1.0,0,False
168,0.021467000000001235,-1.0,0,False
169,0.02140500000000145,-1.0,0,False
170,0.02144200000000751,-1.0,0,False
171,0.021473999999997773,-1.0,0,False
172,0.021452000000010685,-1.0,0,False
173,0.021522000000004482,-1.0,0,False
174,0.02151599999999121,-1.0,0,False
175,0.021496999999996547,-1.0,0,False
176,0.02147899999999936,-1.0,0,False
177,0.021546999999998206,-1.0,0,False
178,0.021370000000004552,-1.0,0,False
179,0.021368999999992866,-1.0,0,False
180,0.021450000000001523,-1.0,0,False
181,0.02143300000000181,-1.0,0,False
182,0.021440999999995825,-1.0,0,False
183,0.021467000000001235,-1.0,0,False
184,0.021498000000008233,-1.0,0,False
185,0.02149599999999907,-1.0,0,False
186,0.02143300000000181,-1.0,0,False
187,0.021485999999995897,-1.0,0,False
188,0.02173299999999756,-1.0,0,False
189,0.021525999999994383,-1.0,0,False
190,0.021473999999997773,-1.0,0,False
191,0.021456000000000586,-1.0,0,False
192,0.021482000000005996,-1.0,0,False
193,0.021531999999993445,-1.0,0,False
194,0.021613000000002103,-1.0,0,False
195,0.021688999999994962,-1.0,0,False
196,0.021523000000001957,-1.0,0,False
197,0.021524999999996908,-1.0,0,False
198,0.02159400000000744,-1.0,0,False
199,0.021670999999997775,-1.0,0,False
200,0.021557999999998856,-1.0,0,True
