params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.1, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",5.089927999999986,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.4198880000000145,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.664640999999989,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.8998960000000125,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.603861999999992,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.768214999999998,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.507463999999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.745463999999998,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.8641350000000045,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.861672999999996,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",3.2222710000000063,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.8351749999999925,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.601112999999998,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.7097689999999943,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.8637659999999983,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",3.3636590000000126,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.6799079999999833,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.6226560000000063,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.5611179999999933,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.1562990000000184,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.2473449999999957,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.1337589999999977,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.1596090000000174,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.2075849999999946,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.060822999999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.1063819999999964,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.210807999999986,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.144235000000009,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.2052520000000015,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.1790410000000122,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.0391089999999963,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.9268639999999948,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.8185290000000123,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.8015189999999848,100,0.0,0.0,0.0,0.0,0.0
