k,Red Wine Quality BIC
2,-32211.70669095005
3,-33226.92026934275
4,-33465.82744092726
5,-33541.484712898695
6,-33478.82765783684
7,-33378.55545816934
8,-33432.01415481106
9,-33299.07329839822
10,-33196.11119352068
15,-32746.382554361124
20,-32211.959340397745
25,-31162.321512952538
30,-30515.56809124782
