,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.09560794830322265,0.001466083526611328,0.055146073289287584,0.05824517232369658,0.1,"(10,)",2,"{'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 2, 'NN__alpha': 0.1}",997,0.07407263495450038,0.05685589259050182,0.04761904761904767,0.047493789273709876,0.07268104003047332,0.05684011081232065,0.033275502804321754,0.07919590730803129,0.047697368421052704,0.05084016163391925,0.014786039279072153,0.00017285037202361143,0.015853211989905212,0.011074872579085503
1,0.14760947227478027,0.001307058334350586,0.08055203208987333,0.07824045358235213,0.1,"(10,)",3,"{'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 3, 'NN__alpha': 0.1}",942,0.09445698074793357,0.08929776976109557,0.0883524283804107,0.08529896183671792,0.08301622227081798,0.08751903096568882,0.04628042058501855,0.044533281301982086,0.09030072679533684,0.08455322404627622,0.016261809935941875,3.2697402295612034e-05,0.017456285536431446,0.016936370993698487
2,0.1106494426727295,0.0012850761413574219,0.08885836063052263,0.08927536079108477,0.1,"(10,)",4,"{'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 4, 'NN__alpha': 0.1}",880,0.10498076781529024,0.1002053270421675,0.054124388743267485,0.06242142231459692,0.10345809286148193,0.10384927169529909,0.10084521895224462,0.10575333777840987,0.08096817403201974,0.07414744512495047,0.019919261732167216,8.1220360568637e-05,0.01947352442686195,0.017625972943297433
3,0.146561861038208,0.0012788772583007812,0.08639144266422548,0.0920770108936276,0.1,"(10,)",5,"{'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 5, 'NN__alpha': 0.1}",899,0.048060809511659544,0.05311864632327672,0.11675334003689777,0.1120770743906222,0.09564574482028944,0.10420314338253253,0.08737004758671714,0.10553292356041405,0.08437835239050173,0.08545326681129249,0.05617738354660125,3.7374726421547174e-05,0.022393828413070485,0.021399697990313396
4,0.15784249305725098,0.0013055801391601562,0.09983245975959656,0.09645628257406838,0.1,"(10,)",6,"{'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 6, 'NN__alpha': 0.1}",736,0.09536334151681596,0.1042780703337699,0.11192566510628223,0.11087178705176201,0.09505007007427972,0.08528098215718063,0.08033885978265785,0.07511752404990409,0.11649936800693098,0.10673304927772523,0.037550993823217645,2.807959569392864e-05,0.012979721268733122,0.013819037750479572
5,0.14912748336791992,0.0012988567352294922,0.09878118405864536,0.10521954712614508,0.1,"(10,)",7,"{'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 7, 'NN__alpha': 0.1}",753,0.0854063465147903,0.08392282377478485,0.04653047989623867,0.09285800154815828,0.12625911715767768,0.11092820668356744,0.12164386276172302,0.1318384426736865,0.1150466013859048,0.10655026095052829,0.007779301244016055,4.918556217964697e-05,0.029889152873938143,0.016427315227856874
6,0.16558256149291992,0.001321887969970703,0.08346556642817644,0.08855927576040372,0.1,"(10,)",8,"{'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 8, 'NN__alpha': 0.1}",919,0.11486715698098485,0.11258791076278389,0.08628900046586552,0.085244518874995,0.12273585592935371,0.11775651646759598,0.04478626142821857,0.07954925685440833,0.04761904761904769,0.04765817584223541,0.024848560432262388,2.4843444749946326e-05,0.0325622519062224,0.025278141519514765
7,0.1400280475616455,0.0013391971588134766,0.09775818418336629,0.08791031723014608,0.1,"(10,)",9,"{'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 9, 'NN__alpha': 0.1}",773,0.047619047619047714,0.047619047619047714,0.09411565978270649,0.08486070521864121,0.14972223768836723,0.14558163881437014,0.11482716331267193,0.08510425619753843,0.0832210139708941,0.07638593830113295,0.03704400364126986,1.279221772080565e-05,0.03391891366489952,0.031935413452103996
8,0.17557234764099122,0.0013601303100585938,0.10941829095504822,0.10598190659462817,0.1,"(10,)",10,"{'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 10, 'NN__alpha': 0.1}",529,0.11452807513299483,0.10671522591928467,0.1081653030788511,0.09931764259398407,0.11041278851454112,0.10049210280080045,0.10248944269404756,0.10714932312559566,0.11141863190805935,0.11623523853347591,0.040739213044090755,3.753026514981219e-05,0.004016114175532629,0.0060263055813971475
9,0.148160982131958,0.0013455867767333985,0.10919183545699014,0.12126291593541902,0.1,"(10,)",15,"{'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 15, 'NN__alpha': 0.1}",535,0.21278279656970653,0.13162473332097846,0.10201600646025097,0.09111895831260566,0.04610808615974669,0.12698602783945911,0.13865786360766474,0.14614687375145582,0.04445110756118178,0.11043798645259605,0.019734912740621804,1.0943802346669464e-05,0.06308043070780152,0.018895342841357517
10,0.1748109817504883,0.0013503074645996095,0.08149499080042294,0.0859271941207642,0.1,"(10,)",20,"{'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 20, 'NN__alpha': 0.1}",927,0.10589405680972055,0.1042028437050533,0.04838893154736518,0.058681088354718074,0.08993513279944947,0.0908150397544678,0.07207872210750856,0.0872265988338204,0.0911927884195591,0.08871039995576147,0.02036361116623458,3.446005513330399e-05,0.019796847369718373,0.014897485488561412
