k,Red Wine Quality sse (left)
2,4667.501035165213
3,3553.0151696695575
4,2814.3994908204418
5,2367.550862233611
6,2126.712455657249
7,1959.3315746188825
8,1802.2695309237474
9,1647.451449048241
10,1529.2603566320886
15,1177.8712773747334
20,961.9157426492453
25,810.925337618083
30,714.5000360023132
