,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0490412712097168,0.0008172035217285156,0.12233500482252618,0.11340848404634214,0.1,"(10,)",2,"{'rp__n_components': 2, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",405,0.13653646399179195,0.14573731385985247,0.09936592281013897,0.10515187050146484,0.11243532368849461,0.10790393504612449,0.11475218977177402,0.10583966930539442,0.14890107311871634,0.10240963151887446,0.015744450641562314,1.4571725379975314e-05,0.01781770273473381,0.016259684360650627
1,0.0733057975769043,0.0008072376251220704,0.07513035843421731,0.07779440233120573,0.1,"(10,)",3,"{'rp__n_components': 3, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",781,0.06380899127714178,0.06725138573853177,0.07226774760761533,0.06306921803782932,0.04979017962585796,0.06646773961986847,0.09261476113675236,0.08984159996861901,0.09755662494646504,0.10234206829118003,0.011466060132866199,1.4881598028495057e-06,0.017793552628961918,0.015517747352764014
2,0.09409313201904297,0.0007972240447998047,0.10853061848518883,0.10571756893857706,0.1,"(10,)",4,"{'rp__n_components': 4, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",600,0.10131201425814576,0.11534621189947789,0.09785280437282642,0.10216340132908287,0.08956510359580855,0.10139899982154123,0.1450720456063744,0.10798963550082365,0.10907009441011463,0.10168959614195967,0.012777081214869826,2.3285770306702188e-05,0.019285834408335586,0.005392212221288532
3,0.0858621597290039,0.0007767200469970704,0.15079752706874217,0.15195410005550541,0.1,"(10,)",5,"{'rp__n_components': 5, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",130,0.14430773048344417,0.1484623290809747,0.16396021896033935,0.15902721997023578,0.13142493163933358,0.1401175853027196,0.16855668954445485,0.15537570460556274,0.14572189032922822,0.15678766131803418,0.010358716711963041,1.4577809575387598e-05,0.013657129258638412,0.006890504532111397
4,0.07815084457397461,0.0007776260375976562,0.1392533857787669,0.14397590685254164,0.1,"(10,)",6,"{'rp__n_components': 6, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",231,0.11479695832430081,0.10751110062399054,0.13711178481244152,0.14311085188026898,0.13884160636190918,0.15137269227327058,0.15960138055810655,0.1509573116355757,0.14617975007176048,0.16692757784960247,0.023376573646581824,2.5841582572082438e-05,0.014606367112256647,0.019802333510235783
5,0.08466925621032714,0.0007781028747558594,0.1177744300753772,0.11513515175282696,0.1,"(10,)",7,"{'rp__n_components': 7, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",459,0.12148170204093653,0.11459018013882907,0.1150391120372267,0.12087017519274275,0.10843431780632491,0.1142900233544652,0.10952947370245114,0.1138069893141372,0.13454810776956488,0.11211839076396052,0.01248538870715114,1.2740210828393133e-05,0.009539709709989673,0.002992209626802817
6,0.05788068771362305,0.0007711410522460938,0.0794149760995197,0.08773008179907012,0.1,"(10,)",8,"{'rp__n_components': 8, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",777,0.07643853171608621,0.0777398130451795,0.06898206058931042,0.06303982686202257,0.07454795766734773,0.06987469474225551,0.04721320190447121,0.0655092785055264,0.1304174054712176,0.16248679584036654,0.020906701055428613,1.5674530255702685e-05,0.027391174575643325,0.03771089868683205
7,0.06165308952331543,0.0007898330688476563,0.1337803301441021,0.1338859358903459,0.1,"(10,)",9,"{'rp__n_components': 9, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",280,0.12840408275100887,0.1436641567983308,0.16389699761589777,0.12946930079740387,0.11415294381686648,0.14371824061508692,0.14556549129126117,0.11761892820830992,0.11663055483588158,0.13495905303259792,0.006780960059274166,2.8579775178292435e-05,0.018743362427544426,0.009773040521742837
8,0.08044247627258301,0.0007883548736572265,0.11923155896373241,0.12059537405982852,0.1,"(10,)",10,"{'rp__n_components': 10, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",435,0.1152109926693202,0.12011019942130054,0.12753785980576599,0.12427865727276236,0.108464728812091,0.11994607319425672,0.11697107634297582,0.1180148798989256,0.1280509178901136,0.12062706051189737,0.008611833561232969,2.726933278593506e-05,0.007534185527643854,0.002043698383631107
9,0.07589497566223144,0.0007981300354003906,0.13081438642443607,0.13908325878922848,0.1,"(10,)",11,"{'rp__n_components': 11, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.1}",324,0.15211656359291548,0.13634099103648611,0.13918173069450498,0.16116938057712546,0.11502256252528632,0.1159744474381289,0.13228935697270508,0.1426198669784817,0.11516822997647899,0.13931160791592018,0.004745243844486061,2.715988439396346e-05,0.014289287178137844,0.014435329652808145
10,0.04990825653076172,0.0007762908935546875,0.10507963577650367,0.0992865732667425,0.1,"(20,)",2,"{'rp__n_components': 2, 'NN__hidden_layer_sizes': (20,), 'NN__alpha': 0.1}",652,0.09517998385376512,0.09818733746334114,0.10912339503149127,0.1033702201712691,0.09605542307893997,0.09805282712851973,0.11940084277957694,0.09841959241003878,0.10572491277415037,0.09840288916054382,0.004079267855651889,5.682170528322689e-06,0.008961841130096201,0.002046420012184573
