,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.07808837890625,0.001359701156616211,0.04761904761904767,0.04763078126527827,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 2}",465,0.047619047619047714,0.04763860369609866,0.04761904761904767,0.04761904761904714,0.0476190476190475,0.04763860369609922,0.04761904761904777,0.047638603696098285,0.04761904761904769,0.04761904761904802,0.008919903683518166,3.764447412569265e-05,9.120286884600572e-17,9.580482029170788e-06
1,0.08445963859558106,0.0013260841369628906,0.04761904761904759,0.047619047619047936,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 3}",704,0.047619047619047714,0.04761904761904754,0.04761904761904767,0.047619047619047436,0.047619047619047464,0.04761904761904844,0.04761904761904767,0.04761904761904814,0.04761904761904741,0.04761904761904813,0.016248867401909457,1.5060809361457581e-05,1.2442467314722195e-16,3.8493040964755174e-16
2,0.09353933334350586,0.0012883663177490235,0.04761904761904759,0.047619047619047936,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 4}",704,0.047619047619047714,0.04761904761904754,0.04761904761904767,0.047619047619047436,0.047619047619047464,0.04761904761904844,0.04761904761904767,0.04761904761904814,0.04761904761904741,0.04761904761904813,0.01574239381752489,0.00011160672916621466,1.2442467314722195e-16,3.8493040964755174e-16
3,0.09033517837524414,0.0013157844543457032,0.04761904761904761,0.047619047619047616,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 5}",675,0.047619047619047644,0.04761904761904739,0.04761904761904772,0.04761904761904728,0.04761904761904756,0.047619047619047485,0.04761904761904759,0.04761904761904796,0.04761904761904756,0.04761904761904795,0.008379680374154088,1.5199366736721025e-05,6.125035511128425e-17,2.8707236425739387e-16
4,0.09843673706054687,0.001342010498046875,0.04761904761904762,0.047619047619047644,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 6}",634,0.04761904761904766,0.04761904761904739,0.04761904761904772,0.04761904761904748,0.047619047619047575,0.047619047619047596,0.04761904761904764,0.04761904761904782,0.04761904761904754,0.04761904761904795,0.006586960216351616,1.3938334306713813e-05,6.344730928672582e-17,2.0943508417507154e-16
5,0.10196523666381836,0.0013408184051513672,0.04761904761904762,0.04761904761904766,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 7}",634,0.047619047619047644,0.04761904761904746,0.04761904761904772,0.04761904761904748,0.047619047619047575,0.047619047619047616,0.047619047619047665,0.04761904761904782,0.04761904761904754,0.04761904761904795,0.003967542151118844,1.3547043529761404e-05,6.461861181335874e-17,1.9244644145986838e-16
6,0.12384152412414551,0.0012497425079345704,0.04856266509531453,0.052882490213611355,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 8}",391,0.04770215241419439,0.04756064853169362,0.04761904761904767,0.047522544662924215,0.046841397849462216,0.058025872559388444,0.05345099311655511,0.06438980506713637,0.04723256239702182,0.04691358024691408,0.013659696209184443,0.00010202938058211359,0.002452946368562324,0.0070929765046456325
7,0.11328067779541015,0.0013419628143310548,0.04761904761904767,0.04761904761904769,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 9}",465,0.047619047619047714,0.047619047619047714,0.04761904761904767,0.04761904761904714,0.0476190476190475,0.04761904761904829,0.04761904761904777,0.04761904761904734,0.04761904761904769,0.04761904761904802,0.0037414408241526684,1.6900228286764957e-05,9.120286884600572e-17,4.2338626521634115e-16
8,0.1261601448059082,0.0013612747192382813,0.04765082670923528,0.04769012837587194,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 10}",446,0.047775947281713374,0.04773795126729751,0.04761904761904772,0.04777727521964443,0.047619047619047575,0.047638603696098555,0.047619047619047665,0.047677764077271076,0.04761904761904741,0.04761904761904813,0.015024756028253731,1.8662312319134657e-05,6.305725935303912e-05,5.95680179628218e-05
9,0.13010988235473633,0.0013651371002197266,0.04761904761904767,0.04761904761904769,0.1,"(10,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 15}",465,0.047619047619047714,0.047619047619047714,0.04761904761904767,0.04761904761904714,0.0476190476190475,0.04761904761904829,0.04761904761904777,0.04761904761904734,0.04761904761904769,0.04761904761904802,0.005122895828423254,2.1563586464881653e-05,9.120286884600572e-17,4.2338626521634115e-16
10,0.16775012016296387,0.0013227462768554688,0.0534317894333004,0.05696489532900003,0.1,"(10,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 20}",279,0.047619047619047714,0.050447214035727765,0.07645701914412714,0.09149930723131514,0.047619047619047464,0.04761904761904844,0.04761904761904767,0.04761904761904814,0.04761904761904741,0.04763986013986064,0.005198399776376812,2.787397686655186e-05,0.011568911596295446,0.01730174439178514
