k,Red Wine Quality log-likelihood
2,15.999854394165494
3,16.618580510672437
4,16.85750897218516
5,17.01656957674432
6,17.107961723850792
7,17.180951158332203
8,17.32915140314101
9,17.386158128842897
10,17.457831562732306
15,17.848039184834995
20,18.19681110497887
25,18.293521081149244
30,18.58733693096957
