k,Iris dataset sse (left)
2,2.482691253457535
3,1.9760586980630417
4,1.596345753628019
5,1.266947999422729
6,1.131875954512245
7,1.0199548051941825
8,0.8954709656008727
9,0.8243125214303371
10,0.7479591414960424
15,0.5128636230603625
20,0.383093843293019
25,0.28813068613089504
30,0.21681864576626148
