k,Iris dataset BIC
2,-816.4848615560948
3,-799.8822299469083
4,-770.5119608933944
5,-791.2426469102626
6,-783.5981740468524
7,-714.6153349764206
8,-634.5509156267484
9,-612.7986151946018
10,-628.6097953267192
15,-394.39480699206376
20,-330.25211265492203
25,-260.17317505159826
30,-132.3793255701612
