k,Red Wine Quality sse (left)
2,5.048416168249911
3,4.550667196487282
4,3.953228264947608
5,3.576397929228365
6,3.24186086178591
7,3.006371951564188
8,2.7881922629198588
9,2.6405328530546237
10,2.5377195457846984
15,2.103760533376188
20,1.8812127800019913
25,1.6718774638497278
30,1.5237039403134076
