k,Iris dataset log-likelihood
2,4.992354165329003
3,5.264488490407011
4,5.46942472367277
5,5.938050194151066
6,6.257332723154213
7,6.2537817458046145
8,6.1919066617221725
9,6.436937466679338
10,6.879670800922104
15,7.444543319529394
20,8.904533174965703
25,10.33327964479053
30,11.458263420520021
