steps,time,reward,delta,converged
1,0.0003849999999978593,53.39999999999998,100.4,False
2,0.00034799999999890474,238.35999999999999,40.0,False
3,0.0003450000000029263,367.28799999999995,16.0,False
4,0.0003449999999993736,440.8367999999999,6.400000000000006,False
5,0.0003470000000014295,478.0131200000002,2.5600000000000023,False
6,0.00034600000000040154,495.9863680000002,1.024000000000001,False
7,0.00035000000000096065,503.8426598399999,0.4096000000000011,False
8,0.0003510000000019886,507.2823823359999,0.16384000000000043,False
9,0.0003510000000019886,508.7678475264,0.0655360000000087,False
10,0.000354999999998995,509.4054970777601,0.026214400000014848,False
11,0.00034799999999890474,509.67794228838414,0.010485760000008781,False
12,0.00035199999999946385,509.79405370933256,0.004194304000009197,False
13,0.0003470000000014295,509.8405856534529,0.0016777216000036788,False
14,0.00035199999999946385,509.859198431101,0.0006710886400043137,False
15,0.00034400000000189834,509.86664354216026,0.0002684354560074098,False
16,0.00034199999999984243,509.8696215865839,0.0001073741824058061,False
17,0.00034399999999834563,509.8708128043534,4.294967296303298e-05,False
18,0.0003530000000004918,509.8712892914612,1.717986918947645e-05,False
19,0.00035199999999946385,509.87147988630426,6.8719476757905795e-06,True
