,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.18723230361938475,0.0039631366729736325,0.1212171908526789,0.11754381867224535,0.1,"(10,)",2,"{'NN__hidden_layer_sizes': (10,), 'filter__n': 2, 'NN__alpha': 0.1}",540,0.12222261156603688,0.11242349422083611,0.1286460709853204,0.11570639507722026,0.11066956115025993,0.12005193252837246,0.132339825194068,0.11878517467765128,0.11211168148249383,0.12075209685714658,0.006527992958088395,3.88066356389747e-05,0.008642025933448294,0.0030892878374933434
1,0.21750316619873047,0.003996372222900391,0.1517912103882307,0.16817817446576616,0.1,"(10,)",3,"{'NN__hidden_layer_sizes': (10,), 'filter__n': 3, 'NN__alpha': 0.1}",137,0.14255983310366896,0.1784004187288456,0.15733117841777036,0.1559961473575255,0.18429592548094603,0.16578177310581332,0.1267310729743179,0.16232309298532566,0.14790907661492353,0.17838944015132077,0.03162789732063875,0.0001377076488142503,0.019058899988877713,0.008912807949928428
2,0.2515821933746338,0.003928852081298828,0.132163142621866,0.13116678496340922,0.1,"(10,)",4,"{'NN__hidden_layer_sizes': (10,), 'filter__n': 4, 'NN__alpha': 0.1}",337,0.14413812439419882,0.14837786200695405,0.11598331583689474,0.1214605217423817,0.14845207274550767,0.13575206854678754,0.12920222673741205,0.11806529127646916,0.12293671023898685,0.13217818124445355,0.025917771618604698,2.3122619993941725e-05,0.012378678123621818,0.010808604012738617
3,0.19779510498046876,0.003935384750366211,0.14644095527313986,0.1647072376839188,0.1,"(10,)",5,"{'NN__hidden_layer_sizes': (10,), 'filter__n': 5, 'NN__alpha': 0.1}",186,0.16373425188610943,0.15579817086450534,0.12987843907467803,0.14974750561207326,0.17262124230396686,0.1503783574941831,0.09777140185672396,0.17096012248836503,0.168262188770238,0.19665203196046727,0.013694976112807674,3.787492063778311e-05,0.02862685207243011,0.017709039005517246
4,0.17279906272888185,0.003918123245239258,0.0752279858261029,0.08855224941113568,0.1,"(10,)",6,"{'NN__hidden_layer_sizes': (10,), 'filter__n': 6, 'NN__alpha': 0.1}",792,0.12723913715963056,0.13590417887278708,0.04850345773949452,0.0592294708130533,0.055284382593056985,0.08597297628264966,0.08998462685442733,0.07100783662215919,0.054848368399141575,0.09064678446502915,0.009299551772051518,2.040250187062711e-05,0.029882470526751616,0.026156745652036642
5,0.21432366371154785,0.00392608642578125,0.12609402202558884,0.12897932465683992,0.1,"(10,)",7,"{'NN__hidden_layer_sizes': (10,), 'filter__n': 7, 'NN__alpha': 0.1}",436,0.12800180416496756,0.12228284158894734,0.1112392581519386,0.1332429893267581,0.130080993170863,0.1327964969899649,0.14553925181118324,0.13206044248825732,0.1156125046231818,0.12451385289027195,0.013537362533468347,5.009364420004957e-05,0.012061733487391453,0.004626580847795688
6,0.18699979782104492,0.0039291858673095705,0.0961848490650293,0.10697715393011746,0.1,"(10,)",8,"{'NN__hidden_layer_sizes': (10,), 'filter__n': 8, 'NN__alpha': 0.1}",773,0.09063690132547812,0.11153882620592535,0.08685685259636099,0.08633247366103569,0.06716099420152168,0.06333961521011941,0.17630953829660417,0.17605900838361457,0.05990591132794936,0.09761584618989222,0.027512269256410263,3.987151391085449e-05,0.04164086329648833,0.03797679070233602
7,0.21140918731689454,0.003915548324584961,0.12162531354774304,0.1192074506566291,0.1,"(10,)",9,"{'NN__hidden_layer_sizes': (10,), 'filter__n': 9, 'NN__alpha': 0.1}",532,0.1303885387553526,0.12739188275655408,0.11710838392732212,0.1133793332205045,0.11427727277530508,0.10990560905909892,0.1169666398249558,0.12056463874501794,0.1294425557261913,0.1247957895019701,0.01600858657822088,1.7808447504154314e-05,0.0068402822090573275,0.006641500271937004
8,0.22348341941833497,0.003950262069702148,0.12879185068710713,0.13275777685396326,0.1,"(10,)",10,"{'NN__hidden_layer_sizes': (10,), 'filter__n': 10, 'NN__alpha': 0.1}",392,0.14435796496554898,0.1371817166143905,0.12780850773897717,0.13604977339767546,0.10974332723075607,0.1303233308191502,0.1352583107642555,0.12089410838149844,0.12673533864466802,0.13933995505710176,0.028429477131179187,4.666494194655607e-05,0.011436088463909009,0.0066393781526065555
9,0.2013944149017334,0.003971719741821289,0.12132441661219392,0.12517307433450803,0.1,"(10,)",11,"{'NN__hidden_layer_sizes': (10,), 'filter__n': 11, 'NN__alpha': 0.1}",539,0.17125551596570027,0.17270901469380212,0.11010200399344061,0.1069923517468089,0.1067129476068643,0.11924766176280582,0.1133576914650435,0.11216504458319834,0.1048181655728904,0.11475129888592497,0.019958989365988312,9.74189634065964e-05,0.02521997750372099,0.024096211549991718
10,0.20658702850341798,0.0039690971374511715,0.1656452648164172,0.16451642983592613,0.1,"(20,)",2,"{'NN__hidden_layer_sizes': (20,), 'filter__n': 2, 'NN__alpha': 0.1}",46,0.12110434548608377,0.1187571827005085,0.18778790054119543,0.18392784930291753,0.19821231583130028,0.15805683531356923,0.16325573133609497,0.18586106349992867,0.15785287297570486,0.17597921836270675,0.01410152360485853,5.567706335595812e-05,0.026891688290804735,0.02489749855940209
