params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.469383999999998,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",1.4417450000000045,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.2}",0.9010000000000034,100,5.3847843137254925,5.733333333333333,4.9411764705882355,5.733333333333333,0.3932163257239455
"{""discount_factor"": 0.3}",0.9355010000000021,100,5.345176470588236,5.733333333333333,4.9411764705882355,5.733333333333333,0.39599920776312114
"{""discount_factor"": 0.4}",0.9087649999999954,100,5.2976470588235305,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39409306332458277
"{""discount_factor"": 0.5}",0.9725119999999947,100,5.3134901960784315,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3953648473914496
"{""discount_factor"": 0.6}",0.9320790000000017,100,5.305568627450981,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3948089459551649
"{""discount_factor"": 0.7}",0.9766229999999965,100,5.321411764705883,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3957614417808552
"{""discount_factor"": 0.8}",1.0032750000000021,100,5.432313725490197,5.733333333333333,4.9411764705882355,5.733333333333333,0.3845022026825635
"{""discount_factor"": 0.9}",1.133536999999997,100,5.273882352941176,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3909757586210382
